"decade","tenure","bedrooms_recode","weighted_count","count","percent"
1970,"Renter",3,4258100,42581,18.0693647014891
2020,"Owner",5,5753263,303556,7.07465225794058
2020,"Renter",0,2684678,97230,6.04534067430049
1970,"Owner",2,11980300,119803,30.0400440308818
1970,"Renter",0,1277500,12775,5.42110645737589
2020,"Renter",3,10429725,418673,23.4855877555031
2020,"Owner",4,20250558,1064770,24.9016351032895
1970,"Renter",2,9336200,93362,39.6184220018417
1970,"Owner",0,113400,1134,0.284345216155021
2020,"Owner",1,1886520,103398,2.31980929389984
1970,"Renter",5,224500,2245,0.952671937127896
2020,"Owner",3,39384543,2148367,48.4302466379354
2020,"Renter",4,2611045,106961,5.87953435791142
1970,"Renter",1,7573100,75731,32.136658561529
1970,"Owner",4,5710400,57104,14.318561925323
2020,"Owner",2,13673185,770814,16.8135941523079
1970,"Owner",3,18787100,187871,47.1077778697177
2020,"Renter",2,16870174,651907,37.9881494409112
1970,"Owner",5,1344700,13447,3.37177259403577
2020,"Renter",1,11245302,435980,25.3220988049191
1970,"Owner",1,1945200,19452,4.87749836388665
1970,"Renter",4,895900,8959,3.80177634063644
2020,"Owner",0,374133,19985,0.460062554626841
2020,"Renter",5,568120,24672,1.27928896645467
