"decade","build_cohort","weighted_count","count"
2010,"1970 - 1979",18520725,961315
2010,"1950 - 1959",13023724,701078
2010,"2000 - 2009",16336906,802969
2020,"1980 - 1989",16452472,800531
2020,"2010 - 2019",10445243,440330
1970,"1960 - 1969",16122200,161222
2000,"1990 - 1999",17771510,174399
1980,"1960 - 1969",16121700,161217
1990,"1940 - 1949",7924775,78411
2010,"1939 or earlier",15319747,846954
2020,"1940 - 1949",5729900,295950
2000,"1960 - 1969",14533602,143194
1990,"1980 - 1989",18341752,180287
2010,"1960 - 1969",12970026,685065
1970,"1950 - 1959",13905200,139052
2000,"1939 or earlier",15798141,169458
1980,"1970 - 1979",20647000,206470
1980,"1950 - 1959",14045600,140456
2010,"1940 - 1949",6379670,346179
2020,"1939 or earlier",14720554,785916
1990,"1950 - 1959",13713697,136146
1990,"1970 - 1979",19905098,199524
2020,"1990 - 1999",16749052,809747
1970,"1940 - 1949",8149500,81495
2000,"1980 - 1989",16644356,162185
1980,"1940 - 1949",8924600,89246
1990,"1960 - 1969",15024180,148345
2020,"1960 - 1969",12842117,640912
2000,"1940 - 1949",7584881,76737
2010,"1980 - 1989",15983777,811264
2010,"2010 - 2019",375732,16314
2020,"1970 - 1979",18350659,914031
2020,"2000 - 2009",17212861,788033
2020,"1950 - 1959",12544857,641106
1990,"1939 or earlier",16798840,176069
2010,"1990 - 1999",16314905,822468
2020,"2020 onward",683531,29757
1970,"1939 or earlier",25269500,252695
2000,"1950 - 1959",13605745,134652
2000,"1970 - 1979",19537766,194130
1980,"1939 or earlier",20722600,207226
