"cohort_group","bedrooms_recode","weighted_count","count","percent"
"Pre-1970",4,6903110,387758,15.0599854773702
"Post-1970",5,4452823,220718,5.5734262192852
"Pre-1970",1,5012494,213929,10.9353735990597
"Pre-1970",0,1193096,45975,2.60288600835108
"Post-1970",2,18387625,819381,23.0150785884335
"Pre-1970",3,18704434,1005372,40.8060286454118
"Post-1970",4,15958493,783973,19.9746280744776
"Post-1970",1,8119328,325449,10.1626486294597
"Pre-1970",5,1868560,107510,4.07649399525645
"Post-1970",3,31109834,1561668,38.9389752283462
"Pre-1970",2,12155734,603340,26.5192322745508
"Post-1970",0,1865715,71240,2.33524325999791
