"build_cohort","bedrooms_recode","decade","baseline_decade","weighted_count","baseline_count","retention_pct"
"1939 or earlier",0,1970,1970,801000,801000,1
"1939 or earlier",0,1980,1970,537100,801000,0.670536828963795
"1939 or earlier",0,1990,1970,461176,801000,0.575750312109863
"1939 or earlier",0,2000,1970,521590,801000,0.651173533083645
"1939 or earlier",0,2010,1970,462764,801000,0.577732833957553
"1939 or earlier",0,2020,1970,483096,801000,0.603116104868914
"1939 or earlier",1,1970,1970,4548400,4548400,1
"1939 or earlier",1,1980,1970,3357800,4548400,0.73823762202093
"1939 or earlier",1,1990,1970,2293107,4548400,0.504156846363556
"1939 or earlier",1,2000,1970,2220754,4548400,0.488249494327676
"1939 or earlier",1,2010,1970,2029067,4548400,0.446105663530033
"1939 or earlier",1,2020,1970,1873729,4548400,0.411953434174655
"1939 or earlier",2,1970,1970,8489900,8489900,1
"1939 or earlier",2,1980,1970,6706800,8489900,0.789973969069129
"1939 or earlier",2,1990,1970,4933703,8489900,0.58112616167446
"1939 or earlier",2,2000,1970,4524284,8489900,0.532901918750515
"1939 or earlier",2,2010,1970,4372452,8489900,0.515018080307189
"1939 or earlier",2,2020,1970,4097724,8489900,0.482658688559347
"1939 or earlier",3,1970,1970,7597500,7597500,1
"1939 or earlier",3,1980,1970,6714200,7597500,0.883738071734123
"1939 or earlier",3,1990,1970,5851870,7597500,0.770236261928266
"1939 or earlier",3,2000,1970,5462624,7597500,0.719002829878249
"1939 or earlier",3,2010,1970,5361394,7597500,0.705678710102007
"1939 or earlier",3,2020,1970,5211180,7597500,0.685907206317868
"1939 or earlier",4,1970,1970,2849000,2849000,1
"1939 or earlier",4,1980,1970,2539600,2849000,0.891400491400491
"1939 or earlier",4,1990,1970,2376464,2849000,0.834139698139698
"1939 or earlier",4,2000,1970,2246610,2849000,0.788560898560899
"1939 or earlier",4,2010,1970,2242216,2849000,0.787018603018603
"1939 or earlier",4,2020,1970,2234925,2849000,0.784459459459459
"1939 or earlier",5,1970,1970,983700,983700,1
"1939 or earlier",5,1980,1970,867100,983700,0.881467927213581
"1939 or earlier",5,1990,1970,882520,983700,0.897143438040053
"1939 or earlier",5,2000,1970,822279,983700,0.835904239097286
"1939 or earlier",5,2010,1970,851854,983700,0.865969299583206
"1939 or earlier",5,2020,1970,819900,983700,0.83348581884721
"1940 - 1949",0,1970,1970,145600,145600,1
"1940 - 1949",0,1980,1970,185000,145600,1.2706043956044
"1940 - 1949",0,1990,1970,174897,145600,1.20121565934066
"1940 - 1949",0,2000,1970,230407,145600,1.58246565934066
"1940 - 1949",0,2010,1970,132771,145600,0.911888736263736
"1940 - 1949",0,2020,1970,134315,145600,0.922493131868132
"1940 - 1949",1,1970,1970,1305900,1305900,1
"1940 - 1949",1,1980,1970,1417200,1305900,1.08522857799219
"1940 - 1949",1,1990,1970,1032846,1305900,0.790907420169998
"1940 - 1949",1,2000,1970,1064936,1305900,0.815480511524619
"1940 - 1949",1,2010,1970,729747,1305900,0.558807718814611
"1940 - 1949",1,2020,1970,619404,1305900,0.474311968757179
"1940 - 1949",2,1970,1970,3486100,3486100,1
"1940 - 1949",2,1980,1970,3596800,3486100,1.03175468288345
"1940 - 1949",2,1990,1970,2873080,3486100,0.824153065029689
"1940 - 1949",2,2000,1970,2641103,3486100,0.757609649751872
"1940 - 1949",2,2010,1970,2136037,3486100,0.61272969794326
"1940 - 1949",2,2020,1970,1863660,3486100,0.534597401107255
"1940 - 1949",3,1970,1970,2523100,2523100,1
"1940 - 1949",3,1980,1970,2891300,2523100,1.1459315920891
"1940 - 1949",3,1990,1970,2904399,2523100,1.15112322143395
"1940 - 1949",3,2000,1970,2740256,2523100,1.08606713962982
"1940 - 1949",3,2010,1970,2471599,2523100,0.97958820498593
"1940 - 1949",3,2020,1970,2239038,2523100,0.887415480955967
"1940 - 1949",4,1970,1970,590900,590900,1
"1940 - 1949",4,1980,1970,701000,590900,1.18632594347605
"1940 - 1949",4,1990,1970,768942,590900,1.30130648163818
"1940 - 1949",4,2000,1970,745816,590900,1.26216957183957
"1940 - 1949",4,2010,1970,728263,590900,1.23246403790828
"1940 - 1949",4,2020,1970,699299,590900,1.18344728380437
"1940 - 1949",5,1970,1970,97900,97900,1
"1940 - 1949",5,1980,1970,133300,97900,1.36159346271706
"1940 - 1949",5,1990,1970,170611,97900,1.74270684371808
"1940 - 1949",5,2000,1970,162363,97900,1.65845760980592
"1940 - 1949",5,2010,1970,181253,97900,1.85140960163432
"1940 - 1949",5,2020,1970,174184,97900,1.77920326864147
