STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
1,1970,2422200,24222,2.6727768144661876,Alabama
2,1970,272400,2724,2.5040381791483113,Alaska
4,1970,1721200,17212,2.5990006971880084,Arizona
5,1970,1149900,11499,2.5759631272284547,Arkansas
6,1970,19350500,193505,2.6237048138291,California
8,1970,1671700,16717,2.837889573488066,Colorado
9,1970,2942600,29426,2.85264731869775,Connecticut
11,1970,711600,7116,2.3479482855536817,District of Columbia
12,1970,6158300,61583,2.5221895653021127,Florida
13,1970,2861200,28612,2.681497273871103,Georgia
15,1970,724100,7241,2.7305620770611796,Hawaii
17,1970,9863500,98635,2.683743093222487,Illinois
18,1970,3503000,35030,2.7328860976306024,Indiana
19,1970,1721500,17215,2.925994772001162,Iowa
20,1970,1571700,15717,2.7952535471145894,Kansas
21,1970,735100,7351,2.708339001496395,Kentucky
22,1970,3083400,30834,2.6479535577609132,Louisiana
23,1970,587700,5877,2.998468606431853,Maine
24,1970,3158300,31583,2.8973815027071526,Maryland
25,1970,5071200,50712,2.8706026187095754,Massachusetts
26,1970,7984300,79843,2.894330122866125,Michigan
27,1970,2728800,27288,2.9061858692465554,Minnesota
28,1970,807200,8072,2.677155599603568,Mississippi
29,1970,3789900,37899,2.6427346367978046,Missouri
31,1970,621900,6219,2.8866377231066087,Nebraska
32,1970,269400,2694,2.730512249443207,Nevada
33,1970,474900,4749,2.9246157085702253,New Hampshire
34,1970,6877200,68772,2.831035886698075,New Jersey
35,1970,556900,5569,2.6063925300772133,New Mexico
36,1970,16682500,166825,2.6631619961037014,New York
37,1970,4344500,43445,2.7347450799861894,North Carolina
39,1970,8455000,84550,2.8677823772915434,Ohio
40,1970,1858000,18580,2.6115715823466092,Oklahoma
41,1970,1387700,13877,2.7593139727606832,Oregon
42,1970,10864300,108643,2.909768691954383,Pennsylvania
44,1970,744100,7441,2.7742238946378177,Rhode Island
45,1970,1542400,15424,2.765300829875519,South Carolina
99,1970,35943700,359437,2.7924865831842576,State not identified
47,1970,1852500,18525,2.6405937921727394,Tennessee
48,1970,9683400,96834,2.5988495776276928,Texas
49,1970,793400,7934,2.918452230904966,Utah
51,1970,3218500,32185,2.856889855522759,Virginia
53,1970,2548900,25489,2.8572717642904784,Washington
54,1970,569100,5691,2.785274995607099,West Virginia
55,1970,3324800,33248,2.9647196823869106,Wisconsin
1,1980,3773700,37737,2.820494474918515,Alabama
2,1980,387400,3874,2.672431595250387,Alaska
4,1980,2671900,26719,2.7041431191287097,Arizona
5,1980,2004500,20045,2.7131953105512596,Arkansas
6,1980,23147200,231472,2.62605844335384,California
8,1980,2810300,28103,2.9243141301640394,Colorado
9,1980,2809800,28098,2.8583173179585737,Connecticut
10,1980,571200,5712,2.9779411764705883,Delaware
11,1980,606000,6060,2.454950495049505,District of Columbia
12,1980,9580000,95800,2.5631837160751565,Florida
13,1980,5154500,51545,2.8158114269085264,Georgia
15,1980,923500,9235,2.7042772062804548,Hawaii
16,1980,924300,9243,2.919831223628692,Idaho
17,1980,10921400,109214,2.758767191019466,Illinois
18,1980,5071100,50711,2.8117765376348327,Indiana
19,1980,2476900,24769,2.927570753764787,Iowa
20,1980,2294000,22940,2.8401918047079335,Kansas
21,1980,3204600,32046,2.789833364538476,Kentucky
22,1980,4100500,41005,2.752200951103524,Louisiana
23,1980,1065900,10659,2.9149075898301904,Maine
24,1980,3963800,39638,2.9406125435188457,Maryland
25,1980,4937300,49373,2.867579446256051,Massachusetts
26,1980,9073200,90732,2.9036613322752722,Michigan
27,1980,3448400,34484,2.9219348103468277,Minnesota
28,1980,2403100,24031,2.8131996171611666,Mississippi
29,1980,4801400,48014,2.778981130503603,Missouri
30,1980,707100,7071,2.883043416772734,Montana
31,1980,1344000,13440,2.880059523809524,Nebraska
32,1980,785900,7859,2.7251558722483775,Nevada
33,1980,717300,7173,2.920395929178865,New Hampshire
34,1980,7106300,71063,2.877826717138314,New Jersey
35,1980,1194400,11944,2.6863697253851306,New Mexico
36,1980,17029900,170299,2.7131515745835264,New York
37,1980,5659300,56593,2.796458926015585,North Carolina
