age_bucket,YEAR,weighted_count,count,percent_crowded
17 or younger,1970,17495800,174958,25.09765330816271
18-29,1970,4742200,47422,14.201647704982346
30-49,1970,5794200,57942,12.66921033355563
50-65,1970,1174200,11742,4.019828689978159
65 and older,1970,475800,4758,2.483700389937829
17 or younger,1980,9462200,94622,14.763879657108264
18-29,1980,4174600,41746,9.088138353223933
30-49,1980,3710200,37102,6.8906470544536065
50-65,1980,893000,8930,2.69458006191801
65 and older,1980,345900,3459,1.4423016783070988
17 or younger,1990,9823388,99876,15.551376882856516
18-29,1990,5102214,49387,11.571521842134413
30-49,1990,5238876,50491,7.220497790060526
50-65,1990,1071829,10868,3.3235664220716545
65 and older,1990,446579,4726,1.5175762521926628
17 or younger,2000,12749911,127425,17.74031649195997
18-29,2000,6381984,60004,14.878359663029253
30-49,2000,7680344,72730,9.057685128727881
50-65,2000,1544231,15591,3.758657187894475
65 and older,2000,677574,7004,2.0556419555633005
17 or younger,2010,8508766,357823,11.543667064919887
18-29,2010,3737885,141484,7.785343762349173
30-49,2010,4763899,192504,5.795292405098555
50-65,2010,1232661,55939,2.123680212535309
65 and older,2010,432829,20501,1.1060741712570055
17 or younger,2020,8544105,320564,11.700081784538522
18-29,2020,3280976,120643,6.542793261914596
30-49,2020,4983382,190912,5.914452852208726
50-65,2020,1570042,70078,2.5130723485210935
65 and older,2020,730169,35358,1.377451508422487
