race_eth,age_bucket,YEAR,weighted_count,count,percent
AAPI,17 or younger,1970,159800,1598,34.15989739204788
AAPI,18-29,1970,63300,633,22.70444763271162
AAPI,30-49,1970,85400,854,20.386727142516115
AAPI,50-65,1970,21300,213,13.131935881627621
AAPI,65 and older,1970,9200,92,9.663865546218489
AIAN,17 or younger,1970,206000,2060,61.32777612384638
AIAN,18-29,1970,55900,559,42.80245022970903
AIAN,30-49,1970,63000,630,42.74084124830394
AIAN,50-65,1970,14300,143,21.699544764795146
AIAN,65 and older,1970,8400,84,19.58041958041958
All,17 or younger,1970,17495800,174958,25.09765330816271
All,18-29,1970,4742200,47422,14.201647704982346
All,30-49,1970,5794200,57942,12.66921033355563
All,50-65,1970,1174200,11742,4.019828689978159
All,65 and older,1970,475800,4758,2.483700389937829
Black,17 or younger,1970,4758500,47585,50.485385390695455
Black,18-29,1970,1228200,12282,33.72785939859948
Black,30-49,1970,1275700,12757,28.268480765821664
Black,50-65,1970,324000,3240,12.747875354107649
Black,65 and older,1970,118700,1187,7.775448709550635
Hispanic,17 or younger,1970,1843200,18432,53.06768778971007
Hispanic,18-29,1970,524500,5245,36.370570695513486
Hispanic,30-49,1970,628500,6285,35.76102418207681
Hispanic,50-65,1970,124400,1244,18.656268746250753
Hispanic,65 and older,1970,51100,511,14.738967406980096
Other,17 or younger,1970,24600,246,37.04819277108434
Other,18-29,1970,9700,97,25.064599483204137
Other,30-49,1970,10000,100,28.169014084507044
Other,50-65,1970,2200,22,20.37037037037037
Other,65 and older,1970,1200,12,15.18987341772152
White,17 or younger,1970,10503700,105037,18.77605376997605
White,18-29,1970,2860600,28606,10.267693699255569
White,30-49,1970,3731600,37316,9.602083247560623
White,50-65,1970,688000,6880,2.6705068140620813
White,65 and older,1970,287200,2872,1.6758472598263467
AAPI,17 or younger,1980,372100,3721,34.18465778594396
AAPI,18-29,1980,183800,1838,23.802123802123802
AAPI,30-49,1980,234800,2348,22.21171128559266
AAPI,50-65,1980,58800,588,15.221330572094228
AAPI,65 and older,1980,30300,303,14.483747609942638
AIAN,17 or younger,1980,202300,2023,37.01061105012806
AIAN,18-29,1980,80600,806,24.807633117882425
AIAN,30-49,1980,71000,710,22.056539297918608
AIAN,50-65,1980,19700,197,14.061384725196287
AIAN,65 and older,1980,9000,90,11.508951406649617
All,17 or younger,1980,9462200,94622,14.763879657108264
All,18-29,1980,4174600,41746,9.088138353223933
All,30-49,1980,3710200,37102,6.8906470544536065
All,50-65,1980,893000,8930,2.69458006191801
All,65 and older,1980,345900,3459,1.4423016783070988
Black,17 or younger,1980,2749400,27494,29.256717212024476
Black,18-29,1980,1149900,11499,20.715932838509765
Black,30-49,1980,872400,8724,15.69092969298009
Black,50-65,1980,245100,2451,8.377195980586507
Black,65 and older,1980,89500,895,4.578473501125435
Hispanic,17 or younger,1980,2252100,22521,38.975805614205115
Hispanic,18-29,1980,1044500,10445,30.720588235294116
Hispanic,30-49,1980,895000,8950,27.150007583801
Hispanic,50-65,1980,203200,2032,15.434865172806683
Hispanic,65 and older,1980,68500,685,10.350559081293442
Other,17 or younger,1980,15600,156,18.955042527339003
Other,18-29,1980,5900,59,11.174242424242424
Other,30-49,1980,4900,49,11.036036036036036
Other,50-65,1980,2200,22,14.193548387096774
Other,65 and older,1980,600,6,5.084745762711865
White,17 or younger,1980,3870700,38707,8.201139476789887
White,18-29,1980,1709900,17099,4.771738493437779
White,30-49,1980,1632100,16321,3.7464248167072967
White,50-65,1980,364000,3640,1.2836608314172462
White,65 and older,1980,148000,1480,0.7025305339706741
AAPI,17 or younger,1990,739516,7334,37.428308246702635
AAPI,18-29,1990,389157,3756,28.386475107299898
AAPI,30-49,1990,595418,5580,25.581077620799704
AAPI,50-65,1990,159459,1611,21.473617019557462
AAPI,65 and older,1990,83267,846,20.27831016923148
AIAN,17 or younger,1990,183177,2286,29.22695216517216
AIAN,18-29,1990,80755,935,21.520721239303597
AIAN,30-49,1990,80031,949,15.219735393287273
AIAN,50-65,1990,18080,220,9.815471310919168
AIAN,65 and older,1990,9000,102,7.916402786573781
All,17 or younger,1990,9823388,99876,15.551376882856516
All,18-29,1990,5102214,49387,11.571521842134413
All,30-49,1990,5238876,50491,7.220497790060526
All,50-65,1990,1071829,10868,3.3235664220716545
All,65 and older,1990,446579,4726,1.5175762521926628
Black,17 or younger,1990,2274458,21551,24.766006191343664
Black,18-29,1990,1008905,9125,18.430814546990398
Black,30-49,1990,1005796,8791,12.895242088042622
Black,50-65,1990,232682,2244,7.503356133218577
Black,65 and older,1990,94804,1006,4.053928659852534
Hispanic,17 or younger,1990,3457135,34150,45.50153247441412
Hispanic,18-29,1990,2133534,20348,42.1527491709367
Hispanic,30-49,1990,1917603,18009,33.1094157775374
Hispanic,50-65,1990,385610,3758,20.400281660484843
Hispanic,65 and older,1990,131726,1344,12.758756959269146
Other,17 or younger,1990,31434,306,27.198864767112855
Other,18-29,1990,12594,119,31.98394961397806
Other,30-49,1990,9680,92,21.016066000868435
Other,50-65,1990,2915,32,17.93846153846154
Other,65 and older,1990,604,7,7.5708197543243925
White,17 or younger,1990,3137668,34249,7.1853528967822236
White,18-29,1990,1477269,15104,4.649614177475654
White,30-49,1990,1630348,17070,2.907977104586242
White,50-65,1990,273083,3003,1.0377435747380541
White,65 and older,1990,127178,1421,0.49827167375801446
AAPI,17 or younger,2000,885593,8352,35.10038925434468
AAPI,18-29,2000,474008,4289,24.305871409752644
AAPI,30-49,2000,832128,7447,23.30290233329226
AAPI,50-65,2000,242475,2266,17.44379282263193
AAPI,65 and older,2000,132735,1263,17.13485720629601
AIAN,17 or younger,2000,196048,2471,29.2237334017041
AIAN,18-29,2000,78922,919,22.46921664365329
AIAN,30-49,2000,92525,1121,15.015831335820689
AIAN,50-65,2000,22139,292,8.767261077384276
AIAN,65 and older,2000,9698,121,8.147525833823407
All,17 or younger,2000,12749911,127425,17.74031649195997
All,18-29,2000,6381984,60004,14.878359663029253
All,30-49,2000,7680344,72730,9.057685128727881
All,50-65,2000,1544231,15591,3.758657187894475
All,65 and older,2000,677574,7004,2.0556419555633005
Black,17 or younger,2000,2370174,21651,22.742102856802916
Black,18-29,2000,895722,7832,16.50638586290509
Black,30-49,2000,1124508,9833,11.601804152828256
Black,50-65,2000,245405,2366,6.258166817804861
Black,65 and older,2000,106414,1116,4.052972696688998
Hispanic,17 or younger,2000,5854544,57659,47.95586439007513
Hispanic,18-29,2000,3475746,32438,45.02720095595225
Hispanic,30-49,2000,3633241,33916,36.39995740094894
Hispanic,50-65,2000,658019,6589,22.236682031387286
Hispanic,65 and older,2000,252014,2567,15.274566290056384
Multiracial,17 or younger,2000,366423,3643,18.476696065830193
Multiracial,18-29,2000,120050,1107,13.494070701961444
Multiracial,30-49,2000,158859,1463,12.361692673904027
Multiracial,50-65,2000,35132,357,7.118152992067753
Multiracial,65 and older,2000,14935,165,5.4161967310614445
Other,17 or younger,2000,34331,349,19.783101010159218
Other,18-29,2000,14283,132,18.45849649129609
Other,30-49,2000,17840,166,14.555304445731723
Other,50-65,2000,3372,36,8.240267833141909
Other,65 and older,2000,1374,16,6.711606096131301
White,17 or younger,2000,3042798,33300,6.932947025054482
White,18-29,2000,1323253,13287,4.997137297305789
White,30-49,2000,1821243,18784,3.0596299773021203
White,50-65,2000,337689,3685,1.0543852254617254
White,65 and older,2000,160404,1756,0.5833656770742714
AAPI,17 or younger,2010,513066,22397,15.577112423441358
AAPI,18-29,2010,273482,11138,10.479498299795456
AAPI,30-49,2010,457731,19227,9.25595605811546
AAPI,50-65,2010,167920,7577,6.516913237188941
AAPI,65 and older,2010,82641,3735,5.813279496901357
AIAN,17 or younger,2010,107947,8345,19.03588792232366
AIAN,18-29,2010,49083,3250,13.647966277013424
AIAN,30-49,2010,51356,3559,9.581218155733042
AIAN,50-65,2010,17614,1400,4.963955382456219
AIAN,65 and older,2010,5492,545,3.4169103465438937
All,17 or younger,2010,8508766,357823,11.543667064919887
All,18-29,2010,3737885,141484,7.785343762349173
All,30-49,2010,4763899,192504,5.795292405098555
All,50-65,2010,1232661,55939,2.123680212535309
All,65 and older,2010,432829,20501,1.1060741712570055
Black,17 or younger,2010,1232120,46391,12.021183711750725
Black,18-29,2010,495498,17072,7.7384007074066865
Black,30-49,2010,553951,20237,5.587752982928711
Black,50-65,2010,173750,7531,2.7798816882353488
Black,65 and older,2010,58197,2734,1.7935156444538678
Hispanic,17 or younger,2010,4419084,170566,25.9790044957109
Hispanic,18-29,2010,2047229,72278,20.549572833512272
Hispanic,30-49,2010,2532174,94396,17.787779398923956
Hispanic,50-65,2010,531716,22134,9.48026632381597
Hispanic,65 and older,2010,167210,7197,6.070084224642124
Multiracial,17 or younger,2010,229099,10643,8.094378533798153
Multiracial,18-29,2010,58814,2543,5.811723249956274
Multiracial,30-49,2010,58412,2697,5.129907540117472
Multiracial,50-65,2010,16212,856,2.7370063107140323
Multiracial,65 and older,2010,5328,297,1.8547657174684957
Other,17 or younger,2010,31793,1196,15.42742902062781
Other,18-29,2010,13827,434,11.619425373322464
Other,30-49,2010,16406,576,9.556596299920779
Other,50-65,2010,4346,152,5.75453835255485
Other,65 and older,2010,1691,59,5.640238817918015
White,17 or younger,2010,1975657,98285,4.995039110538548
White,18-29,2010,799952,34769,2.904057716673221
White,30-49,2010,1093869,51812,2.133871278950411
White,50-65,2010,321103,16289,0.7540225352710648
White,65 and older,2010,112270,5934,0.3594603401134527
AAPI,17 or younger,2020,570876,23873,15.384814396199475
AAPI,18-29,2020,257268,11664,8.699824798294852
AAPI,30-49,2020,540698,23146,8.69318599290555
AAPI,50-65,2020,210717,10198,6.1137997667252755
AAPI,65 and older,2020,142452,6382,5.573610138389486
AIAN,17 or younger,2020,93562,7486,20.41888815900029
AIAN,18-29,2020,38039,2564,12.196169840297795
AIAN,30-49,2020,44743,3249,10.140792080105527
AIAN,50-65,2020,16181,1489,4.99924305386058
AIAN,65 and older,2020,9199,719,4.115736349481898
All,17 or younger,2020,8544105,320564,11.700081784538522
All,18-29,2020,3280976,120643,6.542793261914596
All,30-49,2020,4983382,190912,5.914452852208726
All,50-65,2020,1570042,70078,2.5130723485210935
All,65 and older,2020,730169,35358,1.377451508422487
Black,17 or younger,2020,1242471,34904,13.00702814660964
Black,18-29,2020,450670,12114,6.6693185891180615
Black,30-49,2020,609520,17958,5.913200556666636
Black,50-65,2020,204333,7812,2.876911312939519
Black,65 and older,2020,92769,4165,1.9551884605333043
Hispanic,17 or younger,2020,4051010,133938,21.68274491847046
Hispanic,18-29,2020,1654023,58066,14.32728486048892
Hispanic,30-49,2020,2389529,83293,13.937557467302112
Hispanic,50-65,2020,702091,28414,8.146938256416826
Hispanic,65 and older,2020,267239,11517,5.727985678696182
Multiracial,17 or younger,2020,374051,15527,8.058092215953277
Multiracial,18-29,2020,96903,3787,4.662074977700673
Multiracial,30-49,2020,122936,5249,4.729881287428317
Multiracial,50-65,2020,32931,1633,2.4299716425829083
Multiracial,65 and older,2020,12581,791,1.5530085606186852
Other,17 or younger,2020,58015,2383,13.42073059297352
Other,18-29,2020,19304,714,8.866922667058628
Other,30-49,2020,24337,1080,6.752980806850376
Other,50-65,2020,7859,384,3.700407755836182
Other,65 and older,2020,10686,244,6.306880555260455
White,17 or younger,2020,2154120,102453,6.059826907902233
White,18-29,2020,764769,31734,2.910170713089221
White,30-49,2020,1251619,56937,2.652586526128905
White,50-65,2020,395930,20148,0.9559645907992036
White,65 and older,2020,195243,11540,0.4900732327438589
