inctot_binned,YEAR,weighted_count,count,percent_crowded,rel_risk
"less than $50,000",1970,10202800,102028,10.664587294436387,4.543154204643013
"$50,000 - $99,999",1970,1769100,17691,6.9817828784314955,2.974265704271398
"$100,000 - $149,999",1970,161200,1612,3.825162545678895,1.629533597789587
"$150,000 and greater",1970,53300,533,2.3473971637452657,1
"less than $50,000",1980,7959300,79593,6.838056961900254,5.630747560594258
"$50,000 - $99,999",1980,1028300,10283,3.2603974114670367,2.6847501963604796
"$100,000 - $149,999",1980,99500,995,1.671791252919334,1.3766241743301335
"$150,000 and greater",1980,36600,366,1.2144136969938284,1
"less than $50,000",1990,10465292,102082,8.247766684922107,7.76772605822596
"$50,000 - $99,999",1990,1217273,11647,3.1532619279252936,2.96973420583471
"$100,000 - $149,999",1990,129061,1263,1.5500244103533527,1.459809117200043
"$150,000 and greater",1990,47872,480,1.06179937643241,1
"less than $50,000",2000,14355398,137136,10.219405368829864,6.13372731453787
"$50,000 - $99,999",2000,1569660,14774,3.638663719375171,2.1839402820856053
"$100,000 - $149,999",2000,224179,2111,2.2356252633363503,1.3418310799786988
"$150,000 and greater",2000,134896,1308,1.6661003733583517,1
"less than $50,000",2010,9230762,369134,5.609262085129805,8.700794239080485
"$50,000 - $99,999",2010,771025,33705,1.7555908347285956,2.7231807658770832
"$100,000 - $149,999",2010,115868,5274,1.033373445955473,1.6029148912873563
"$150,000 and greater",2010,49619,2315,0.6446839140196241,1
"less than $50,000",2020,9067419,354799,5.257626187504263,4.900129575579385
"$50,000 - $99,999",2020,1170742,48149,2.245082406545349,2.0924261839063822
"$100,000 - $149,999",2020,205311,8831,1.4673099710270048,1.3675390241056629
"$150,000 and greater",2020,121097,5212,1.0729565629665228,1
