STATEFIP,YEAR,weighted_count,count,crowded,state_name
1,1970,517400,5174,21.36074642886632,Alabama
2,1970,64600,646,23.715124816446405,Alaska
4,1970,366200,3662,21.275854055310248,Arizona
5,1970,239700,2397,20.845290894860423,Arkansas
6,1970,2847200,28472,14.713831683935815,California
8,1970,201200,2012,12.03565232996351,Colorado
9,1970,292100,2921,9.926595527764562,Connecticut
11,1970,190700,1907,26.79876335019674,District of Columbia
12,1970,1005300,10053,16.324310280434535,Florida
13,1970,549900,5499,19.21920872361247,Georgia
15,1970,160500,1605,22.16544676149703,Hawaii
17,1970,1532600,15326,15.538094996705023,Illinois
18,1970,503500,5035,14.37339423351413,Indiana
19,1970,179000,1790,10.39790880046471,Iowa
20,1970,182100,1821,11.58618056881084,Kansas
21,1970,162800,1628,22.14664671473269,Kentucky
22,1970,767700,7677,24.897840046701695,Louisiana
23,1970,66800,668,11.366343372468947,Maine
24,1970,366400,3664,11.601177848842733,Maryland
25,1970,523500,5235,10.323000473260766,Massachusetts
26,1970,1087500,10875,13.62048019237754,Michigan
27,1970,312500,3125,11.45192025798886,Minnesota
28,1970,214700,2147,26.598116947472743,Mississippi
29,1970,651300,6513,17.18515000395789,Missouri
31,1970,62600,626,10.065926997909632,Nebraska
32,1970,31600,316,11.729769858945806,Nevada
33,1970,45700,457,9.623078542851127,New Hampshire
34,1970,785500,7855,11.421799569592276,New Jersey
35,1970,154800,1548,27.796731908780753,New Mexico
36,1970,2334300,23343,13.992507118237674,New York
37,1970,773100,7731,17.794913108528025,North Carolina
39,1970,1013400,10134,11.985807214665877,Ohio
40,1970,241600,2416,13.003229278794404,Oklahoma
41,1970,126600,1266,9.123009295957338,Oregon
42,1970,1171300,11713,10.781182404756864,Pennsylvania
44,1970,74300,743,9.985217040720332,Rhode Island
45,1970,346400,3464,22.45850622406639,South Carolina
99,1970,5937900,59379,16.520002114417824,State not identified
47,1970,313500,3135,16.923076923076923,Tennessee
48,1970,2086500,20865,21.54718384038664,Texas
49,1970,127900,1279,16.120494076128054,Utah
