tenure,YEAR,weighted_count,count,percent_crowded
owner,1970,14483700,144837,10.974478731771335
renter,1970,15198500,151985,23.30050499630528
owner,1980,8454100,84541,5.477652943539504
renter,1980,10131800,101318,15.200610916990604
owner,1990,8034840,86430,4.892359910618853
renter,1990,13648046,128918,17.665117587249213
owner,2000,11369908,117205,6.005536600225545
renter,2000,17664136,165549,20.95878886470399
owner,2010,6324461,310562,3.1312032349289116
renter,2010,12351579,457689,12.461497885165723
owner,2020,7198287,331729,3.3113880050400826
renter,2020,11910387,405826,11.28582054928777
