race_eth,YEAR,weighted_count,count,percent_doubled
AIAN,1970,50400,504,6.973848069738481
AAPI,1970,92000,920,6.465668704757889
Black,1970,1327800,13278,6.1335920177383585
Hispanic,1970,330500,3305,4.299802248126562
White,1970,5619700,56197,3.3942539822704183
Other,1970,19000,190,11.927181418706843
AIAN,1980,159800,1598,11.319685485584756
AAPI,1980,262500,2625,7.471607890017933
Black,1980,2225200,22252,8.764494580287371
Hispanic,1980,1233100,12331,8.531792707396388
White,1980,10095600,100956,5.735539997829771
Other,1980,28400,284,13.733075435203096
AIAN,1990,162070,1846,8.87710897750844
AAPI,1990,681158,6525,9.976656231444576
Black,1990,2106307,18100,7.550256823661279
Hispanic,1990,2633037,25381,12.319080954266674
White,1990,9733772,95143,5.3090503079915825
Other,1990,23734,235,10.537438675161498
AIAN,2000,181568,2118,9.034002395228649
AAPI,2000,959801,8922,9.401690480568114
Black,2000,2399446,21608,7.477717878162656
Hispanic,2000,4873332,46298,14.11827404805773
White,2000,10641599,103973,5.618064732152921
Multiracial,2000,444295,4191,9.017179310140474
Other,2000,39465,381,9.07500068985182
AIAN,2010,179656,9763,9.081415086423473
AAPI,2010,1264669,50101,8.518049385556559
Black,2010,2299992,83402,6.377977333366166
Hispanic,2010,4932259,173293,9.949809157067666
White,2010,11642345,481424,6.058078569504099
Multiracial,2010,437502,18679,7.4651681114047115
Other,2010,59619,2014,9.899278712042719
AIAN,2020,168161,11054,9.562746907735622
AAPI,2020,1617659,72234,8.563568785829123
Black,2020,2705326,84675,7.0332648940035325
Hispanic,2020,5357098,190991,8.83199941861876
White,2020,12760329,551838,6.706504941823016
Multiracial,2020,926277,39461,8.06516621072052
Other,2020,144469,5678,10.37708879235048
