race_eth,YEAR,weighted_count,count,hhsize
AIAN,1970,722700,7227,5.4585581845855815
AAPI,1970,1422900,14229,4.385058682971397
Black,1970,21648000,216480,5.087518477457502
Hispanic,1970,7686400,76864,5.143955557868443
White,1970,165565100,1655651,4.000387158887954
Other,1970,159300,1593,4.851224105461394
AIAN,1980,1411700,14117,4.519727987532762
AAPI,1980,3513300,35133,4.232203341587681
Black,1980,25388800,253888,4.267094151751953
Hispanic,1980,14453000,144530,4.541721441915174
White,1980,176018300,1760183,3.442448313612846
Other,1980,206800,2068,3.764990328820116
AIAN,1990,1825707,21108,4.1015223143691735
AAPI,1990,6827518,65485,4.296820015707025
Black,1990,27897157,246966,3.9010648289357945
Hispanic,1990,21373648,206616,4.618235080880905
White,1990,183342998,1905513,3.2341797912566044
Other,1990,225235,2172,4.223673052589517
AIAN,2000,2009829,23871,4.036383194789209
AAPI,2000,10208813,94361,4.085721719067633
Black,2000,32087945,293423,3.6982986601354497
Hispanic,2000,34517902,331416,4.716865323970153
White,2000,189417522,1945636,3.155392530158852
Multiracial,2000,4927206,47355,3.779454522502205
Other,2000,434876,4123,3.8473748838749438
AIAN,2010,1978282,125967,3.862866871356055
AAPI,2010,14846932,680014,3.8293338987475662
Black,2010,36061464,1449479,3.4413741216940057
Hispanic,2010,49571393,1994509,4.309363971272705
White,2010,192178838,10207272,3.091107284143325
Multiracial,2010,5860578,275448,3.7423668791713034
Other,2010,602256,24563,3.76396084057278
AIAN,2020,1758501,129959,3.83236233587584
AAPI,2020,18890010,878129,3.7123673306684326
Black,2020,38464725,1248386,3.3343276729522957
Hispanic,2020,60655552,2208376,4.095829974476203
White,2020,190267943,9828948,3.0771417810513673
Multiracial,2020,11484909,534566,3.612706204289472
Other,2020,1392192,56456,3.5925224394336412
