race_eth,age_bucket,count_1970,count_2020,weighted_count_1970,weighted_count_2020,hhsize_1970,hhsize_2020,change_hhsize,pct_change_hhsize
AAPI,17 or younger,4678,165914,467800,3710646,5.376656690893544,4.663940456729097,-0.7127162341644464,-13.255751206350512
AAPI,18-29,2788,128970,278800,2957163,3.947632711621234,3.5797174521661472,-0.36791525945508674,-9.31989590551319
AAPI,30-49,4189,276744,418900,6219791,4.229649080926236,3.6403557611501736,-0.5892933197760621,-13.932439984997878
AAPI,50-65,1622,175484,162200,3446580,3.5215782983970407,3.338859971333902,-0.18271832706313873,-5.188535127738288
AAPI,65 and older,952,131017,95200,2555830,2.948529411764706,3.1632448167522877,0.21471540498758168,7.2821184733942905
AIAN,17 or younger,3359,34833,335900,458213,6.55522476927657,5.065805640608189,-1.4894191286683816,-22.721099292416067
AIAN,18-29,1306,18643,130600,311893,4.732771822358346,4.067507125841234,-0.6652646965171121,-14.05655547081942
AIAN,30-49,1474,29974,147400,441218,5.25101763907734,3.7661360143965115,-1.484881624680829,-28.277978227125864
AIAN,50-65,659,26626,65900,323669,3.4628224582701064,2.810327834917771,-0.6524946233523354,-18.842855249307146
AIAN,65 and older,429,19883,42900,223508,2.86013986013986,2.5863280061563794,-0.2738118539834806,-9.573372889886976
All,17 or younger,697109,3043118,69710900,73026028,5.410551291118032,4.599077523427674,-0.8114737676903578,-14.9979867859764
All,18-29,333919,1907932,33391900,50146411,3.8023472758363557,3.475877027370912,-0.3264702484654438,-8.586018708499848
All,30-49,457345,3577372,45734500,84257701,4.284413298494572,3.5070758458031035,-0.7773374526914685,-18.143381567894117
All,50-65,292102,3191151,29210200,62475002,2.7531170618482586,2.668352759716598,-0.08476430213166042,-3.0788484553125155
All,65 and older,191569,3165247,19156900,53008690,2.2158177993307895,2.134944289323128,-0.08087351000766141,-3.649826715539808
Black,17 or younger,94255,267875,9425500,9552305,6.285438438279137,4.440124661011138,-1.8453137772679984,-29.35855303314718
Black,18-29,36415,171516,3641500,6757362,4.737168749141837,3.424784849472324,-1.3123838996695132,-27.703971911645716
Black,30-49,45128,299306,4512800,10307785,4.652942740648821,3.276037092353013,-1.376905648295808,-29.592146842189766
Black,50-65,25416,277483,2541600,7102513,3.331641485678313,2.587337608533768,-0.7443038771445449,-22.340455308414036
Black,65 and older,15266,232206,1526600,4744760,2.7350320974715054,2.224090575708782,-0.5109415217627236,-18.681372048067775
Hispanic,17 or younger,34733,638874,3473300,18683105,6.040883309820631,4.888819604664214,-1.1520637051564178,-19.07111337978527
Hispanic,18-29,14421,397924,1442100,11544567,4.478884959434159,4.057111193516396,-0.42177376591776294,-9.416936798730545
Hispanic,30-49,17575,602063,1757500,17144532,4.883584637268847,3.9917775533330393,-0.8918070839358081,-18.26132134846244
Hispanic,50-65,6668,351490,666800,8617851,3.6357228554289143,3.3374941154122992,-0.29822874001661503,-8.202735793551907
Hispanic,65 and older,3467,218025,346700,4665497,3.145370637438708,2.799213245662788,-0.34615739177592,-11.0052973616425
Other,17 or younger,664,17491,66400,432279,5.944277108433735,4.544326696415972,-1.3999504120177635,-23.55123064554839
Other,18-29,387,7925,38700,217708,3.896640826873385,3.6074604516140885,-0.2891803752592965,-7.421273556057543
Other,30-49,355,14604,35500,360389,4.647887323943662,3.3401990626794937,-1.3076882612641683,-28.13511107568362
Other,50-65,108,10033,10800,212382,3.5555555555555554,2.6918053319019504,-0.863750223653605,-24.29297504025764
Other,65 and older,79,6403,7900,169434,3.0253164556962027,2.8107050532950884,-0.21461140240111432,-7.093849702798339
White,17 or younger,559420,1715312,55942000,35547550,5.216785241857639,4.503991639367551,-0.7127936024900876,-13.663464556119427
White,18-29,278602,1100998,27860200,26279180,3.6391949806534054,3.2215898669593193,-0.41760511369408615,-11.47520580551874
White,30-49,388624,2236449,38862400,47184851,4.211114084565029,3.370624567618111,-0.840489516946918,-19.958839871557007
White,50-65,257629,2273032,25762900,41416806,2.666209937545851,2.4867539278620376,-0.17945600968381337,-6.730753162258335
White,65 and older,171376,2503157,17137600,39839556,2.14470520959761,1.974896657984843,-0.16980855161276698,-7.917570715680151
