race_eth,age_bucket,YEAR,weighted_count,count,weighted_mean
AAPI,17 or younger,1970,467800,4678,5.376656690893544
AAPI,18-29,1970,278800,2788,3.947632711621234
AAPI,30-49,1970,418900,4189,4.229649080926236
AAPI,50-65,1970,162200,1622,3.5215782983970407
AAPI,65 and older,1970,95200,952,2.948529411764706
AIAN,17 or younger,1970,335900,3359,6.55522476927657
AIAN,18-29,1970,130600,1306,4.732771822358346
AIAN,30-49,1970,147400,1474,5.25101763907734
AIAN,50-65,1970,65900,659,3.4628224582701064
AIAN,65 and older,1970,42900,429,2.86013986013986
All,17 or younger,1970,69710900,697109,5.410551291118032
All,18-29,1970,33391900,333919,3.8023472758363557
All,30-49,1970,45734500,457345,4.284413298494572
All,50-65,1970,29210200,292102,2.7531170618482586
All,65 and older,1970,19156900,191569,2.2158177993307895
Black,17 or younger,1970,9425500,94255,6.285438438279137
Black,18-29,1970,3641500,36415,4.737168749141837
Black,30-49,1970,4512800,45128,4.652942740648821
Black,50-65,1970,2541600,25416,3.331641485678313
Black,65 and older,1970,1526600,15266,2.7350320974715054
Hispanic,17 or younger,1970,3473300,34733,6.040883309820631
Hispanic,18-29,1970,1442100,14421,4.478884959434159
Hispanic,30-49,1970,1757500,17575,4.883584637268847
Hispanic,50-65,1970,666800,6668,3.6357228554289143
Hispanic,65 and older,1970,346700,3467,3.145370637438708
Other,17 or younger,1970,66400,664,5.944277108433735
Other,18-29,1970,38700,387,3.896640826873385
Other,30-49,1970,35500,355,4.647887323943662
Other,50-65,1970,10800,108,3.5555555555555554
Other,65 and older,1970,7900,79,3.0253164556962027
White,17 or younger,1970,55942000,559420,5.216785241857639
White,18-29,1970,27860200,278602,3.6391949806534054
White,30-49,1970,38862400,388624,4.211114084565029
White,50-65,1970,25762900,257629,2.666209937545851
White,65 and older,1970,17137600,171376,2.14470520959761
AAPI,17 or younger,1980,1088500,10885,5.115939366100138
AAPI,18-29,1980,772200,7722,3.886946386946387
AAPI,30-49,1980,1057100,10571,4.0328256550941255
AAPI,50-65,1980,386300,3863,3.549055138493399
AAPI,65 and older,1980,209200,2092,3.1773422562141493
AIAN,17 or younger,1980,546600,5466,5.452616172703988
AIAN,18-29,1980,324900,3249,4.17513080947984
AIAN,30-49,1980,321900,3219,4.31780055917987
AIAN,50-65,1980,140100,1401,3.236973590292648
AIAN,65 and older,1980,78200,782,2.5601023017902813
All,17 or younger,1980,64090200,640902,4.728362526564124
All,18-29,1980,45934600,459346,3.454243642047607
All,30-49,1980,53844000,538440,3.7707098283931355
All,50-65,1980,33140600,331406,2.6621364730873913
All,65 and older,1980,23982500,239825,2.0420723444178046
Black,17 or younger,1980,9397500,93975,5.180601223729715
Black,18-29,1980,5550800,55508,4.199088419687253
Black,30-49,1980,5559900,55599,4.019910430043706
Black,50-65,1980,2925800,29258,3.142661836079021
Black,65 and older,1980,1954800,19548,2.4546245140167793
Hispanic,17 or younger,1980,5778200,57782,5.2721435741234295
Hispanic,18-29,1980,3400000,34000,4.173
Hispanic,30-49,1980,3296500,32965,4.429030790232065
Hispanic,50-65,1980,1316500,13165,3.454614508165591
Hispanic,65 and older,1980,661800,6618,2.782562707766697
Other,17 or younger,1980,82300,823,4.70595382746051
Other,18-29,1980,52800,528,3.1742424242424243
Other,30-49,1980,44400,444,3.4121621621621623
Other,50-65,1980,15500,155,2.8774193548387097
Other,65 and older,1980,11800,118,2.3389830508474576
White,17 or younger,1980,47197100,471971,4.554455676302146
White,18-29,1980,35833900,358339,3.2552192197890824
White,30-49,1980,43564200,435642,3.6790529838720785
White,50-65,1980,28356400,283564,2.5607235050993777
White,65 and older,1980,21066700,210667,1.9671661911927354
AAPI,17 or younger,1990,1975820,19570,5.072455486835845
AAPI,18-29,1990,1370924,12703,4.0909226186134315
AAPI,30-49,1990,2327572,21752,4.062521374204536
AAPI,50-65,1990,742581,7295,3.7454755777484205
AAPI,65 and older,1990,410621,4165,3.577223278887344
AIAN,17 or younger,1990,626740,7589,5.0177952580017235
AIAN,18-29,1990,375243,4180,4.052310103053221
AIAN,30-49,1990,525837,5863,3.776404094805044
AIAN,50-65,1990,184199,2142,2.977589454883034
AIAN,65 and older,1990,113688,1334,2.537488565195975
All,17 or younger,1990,63167320,651424,4.555530913769968
All,18-29,1990,44092852,425329,3.5047019185785486
All,30-49,1990,72555607,722110,3.479684306135017
All,50-65,1990,32249363,334794,2.6129590838739976
All,65 and older,1990,29427121,314203,2.0133680763401895
Black,17 or younger,1990,9183790,83506,4.742625648016777
Black,18-29,1990,5474012,46848,3.9685771605908062
Black,30-49,1990,7799745,66324,3.6629318009755445
Black,50-65,1990,3101039,27738,3.037798944160328
Black,65 and older,1990,2338571,22550,2.3771072163299722
Hispanic,17 or younger,1990,7597843,75314,5.265767797518322
Hispanic,18-29,1990,5061435,47908,4.625162824376881
Hispanic,30-49,1990,5791715,54471,4.3989060235180775
Hispanic,50-65,1990,1890219,18413,3.611377306015864
Hispanic,65 and older,1990,1032436,10510,2.8927594543390582
Other,17 or younger,1990,115571,1138,4.705384568793209
Other,18-29,1990,39376,374,4.112860625761885
Other,30-49,1990,46060,431,3.726118106817195
Other,50-65,1990,16250,158,3.2771076923076925
Other,65 and older,1990,7978,71,2.593005765856104
White,17 or younger,1990,43667556,464307,4.362186104484529
White,18-29,1990,31771862,313316,3.213768522600281
White,30-49,1990,56064678,573269,3.3320489952693566
White,50-65,1990,26315075,279048,2.456257411388719
White,65 and older,1990,25523827,275573,1.9167952752539814
AAPI,17 or younger,2000,2523029,23890,5.021114303482045
AAPI,18-29,2000,1950179,17385,3.786272439606826
AAPI,30-49,2000,3570920,32123,3.935591668253559
AAPI,50-65,2000,1390036,13311,3.5473663991436193
AAPI,65 and older,2000,774649,7652,3.451102370234777
AIAN,17 or younger,2000,670852,8328,5.008219398615492
AIAN,18-29,2000,351245,3935,4.088371364716935
AIAN,30-49,2000,616183,7067,3.724770076422102
AIAN,50-65,2000,252519,3045,2.872651166842891
AIAN,65 and older,2000,119030,1496,2.4876669747122575
All,17 or younger,2000,71869693,729082,4.600166832492244
All,18-29,2000,42894406,405259,3.562125560148799
All,30-49,2000,84793674,831313,3.468604615481103
All,50-65,2000,41084646,425900,2.54007209895395
