tenure,YEAR,weighted_count,count,hhsize
owner,1970,131976200,1319762,4.285554516647698
renter,1970,65228200,652282,3.9455879512235508
owner,1980,154338000,1543380,3.746955383638508
renter,1980,66653900,666539,3.3552770355523083
owner,1990,164232398,1715407,3.4975854033380185
renter,1990,77259865,732453,3.415235620719762
owner,2000,189323765,1939436,3.489390093208848
renter,2000,84280328,800749,3.4250857922622227
owner,2010,201981811,10785218,3.4030925091566786
renter,2010,99117932,3972034,3.360640968578723
owner,2020,217379751,10987867,3.4117259017377384
renter,2020,105534081,3896953,3.2585595453283003
