hhincome_2020_binned,YEAR,weighted_count,count,persons_per_bedroom
"less than $50,000",1970,65239400,652394,1.6613578348871108
"$50,000 - $99,999",1970,84643400,846434,1.6306452718109203
"$100,000 - $149,999",1970,32285700,322857,1.515230375470672
"$150,000 and greater",1970,15035900,150359,1.412257995863231
"less than $50,000",1980,74169900,741699,1.4224041693462952
"$50,000 - $99,999",1980,84920100,849201,1.409434849150375
"$100,000 - $149,999",1980,40556300,405563,1.3306730397003586
"$150,000 and greater",1980,21345600,213456,1.261461690777801
"less than $50,000",1990,78816514,810169,1.4449206061477542
"$50,000 - $99,999",1990,85933867,874985,1.3880426801538697
"$100,000 - $149,999",1990,45623474,453127,1.3035035962700567
"$150,000 and greater",1990,31117178,309567,1.1947212838516421
"less than $50,000",2000,84968323,872294,1.4837343922079442
"$50,000 - $99,999",2000,92647743,938200,1.4417652820389475
"$100,000 - $149,999",2000,51468981,502519,1.3396131186277067
"$150,000 and greater",2000,44519046,427172,1.2104802215812698
"less than $50,000",2010,107807688,5099566,1.2657528164101621
"$50,000 - $99,999",2010,96297643,4751085,1.2241438726940814
"$100,000 - $149,999",2010,51729732,2584453,1.173552156620485
"$150,000 and greater",2010,45264680,2322148,1.0882215206204906
"less than $50,000",2020,99826566,4397954,1.192847439194362
"$50,000 - $99,999",2020,100080186,4620887,1.215529022564628
"$100,000 - $149,999",2020,59158968,2768989,1.19380455695801
"$150,000 and greater",2020,63848112,3096990,1.1363418033932458
