race_eth,YEAR,weighted_count,count,persons_per_bedroom
AIAN,1970,722700,7227,2.8056962317236307
AAPI,1970,1422900,14229,1.8869714432965559
Black,1970,21648000,216480,2.1102198817442663
Hispanic,1970,7686400,76864,2.3585659953510976
White,1970,165565100,1655651,1.4961695329107803
Other,1970,159300,1593,2.053756015902908
AIAN,1980,1411700,14117,2.065987816108239
AAPI,1980,3513300,35133,1.9397835842844817
Black,1980,25388800,253888,1.7190035895092786
Hispanic,1980,14453000,144530,2.1117129085080375
White,1980,176018300,1760183,1.2604111523252715
Other,1980,206800,2068,1.603989361702128
AIAN,1990,1825707,21108,1.7982347569096981
AAPI,1990,6827518,65485,2.0618897452925045
Black,1990,27897157,246966,1.6156850779931964
Hispanic,1990,21373648,206616,2.410746211097574
White,1990,183342998,1905513,1.174864596592516
Other,1990,225235,2172,1.9913681266233045
AIAN,2000,2009829,23871,1.741842954466939
AAPI,2000,10208813,94361,1.9232769617780217
Black,2000,32087945,293423,1.5560226059973625
Hispanic,2000,34517902,331416,2.50436389258729
White,2000,189417522,1945636,1.132929984604752
Multiracial,2000,4927206,47355,1.553744752435085
Other,2000,434876,4123,1.6605237278365934
AIAN,2010,1978282,125967,1.4070292641123279
AAPI,2010,14846932,680014,1.3918695570685329
Black,2010,36061464,1449479,1.2732796973152993
Hispanic,2010,49571393,1994509,1.6961102918774185
White,2010,192178838,10207272,1.0529232370527675
Multiracial,2010,5860578,275448,1.3051019569514573
Other,2010,602256,24563,1.434610254332598
AIAN,2020,1758501,129959,1.3889496603451836
AAPI,2020,18890010,878129,1.336830966914966
Black,2020,38464725,1248386,1.2417916874920256
Hispanic,2020,60655552,2208376,1.5617152265522785
White,2020,190267943,9828948,1.0381596009756304
Multiracial,2020,11484909,534566,1.249895606486739
Other,2020,1392192,56456,1.3182340630219573
