STATEFIP,state_name,count_1970,count_2020,weighted_count_1970,weighted_count_2020,ppbr_1970,ppbr_2020,change_ppbr,pct_change_ppbr
1,Alabama,24222,224145,2422200,4894273,1.764294167836404,1.0545619032693951,-0.7097322645670088,-40.2275469423203
2,Alaska,2724,30216,272400,704486,2.07604013705335,1.2896477242509667,-0.7863924128023831,-37.87944167199762
4,Arizona,17212,324228,1721200,7015059,1.8649082035789064,1.2090489878037192,-0.6558592157751872,-35.16844499458694
5,Arkansas,11499,138493,1149900,2935348,1.7141447082354946,1.1357330999027488,-0.5784116083327457,-33.74345267081627
6,California,193505,1749983,19350500,38476250,1.6126945901484218,1.4412635565229606,-0.1714310336254612,-10.630099131769509
8,Colorado,16717,267166,1671700,5645717,1.518726446132677,1.0901016115402162,-0.4286248345924608,-28.222649028330398
9,Connecticut,29426,163404,2942600,3499042,1.5000538072906056,1.1374615347096004,-0.3625922725810051,-24.171951087269235
10,Delaware,NA,43657,NA,969992,NA,1.0691359825648026,NA,NA
11,District of Columbia,7116,29237,711600,641816,1.9019884766722883,1.269867999551274,-0.6321204771210143,-33.23471644933253
12,Florida,61583,914372,6158300,21161442,1.653527488646715,1.1662226602200965,-0.4873048284266186,-29.470621551350202
13,Georgia,28612,445919,2861200,10472621,1.7080380027028288,1.1001091528726936,-0.6079288498301352,-35.59223207376757
15,Hawaii,7241,69058,724100,1409907,1.820243520692356,1.397997716634266,-0.42224580405808987,-23.197215057108544
16,Idaho,NA,84097,NA,1805642,NA,1.1295984198418063,NA,NA
17,Illinois,98635,594328,9863500,12477820,1.6190672682110876,1.169092589891505,-0.4499746783195826,-27.792216367684404
18,Indiana,35030,312218,3503000,6604292,1.5832353221048605,1.1131672075270616,-0.47006811457779896,-29.69035038662847
19,Iowa,17215,153968,1721500,3089878,1.439799593377873,1.0693391885806969,-0.37046040479717623,-25.729997876166195
20,Kansas,15717,139452,1571700,2848003,1.4705828084240045,1.1016407988334318,-0.36894200959057266,-25.08814923424549
21,Kentucky,7351,210378,735100,4379777,1.7664104656962705,1.1050635416673793,-0.6613469240288912,-37.440161099147836
22,Louisiana,30834,196117,3083400,4516385,1.846475751875632,1.114499077617746,-0.7319766742578862,-39.641824351841684
23,Maine,5877,63538,587700,1328708,1.5021694742215386,1.0648458878850742,-0.4373235863364644,-29.112799443824162
24,Maryland,31583,279631,3158300,6034445,1.5342051103441698,1.1284531662260049,-0.40575194411816495,-26.447046837638432
25,Massachusetts,50712,317176,5071200,6754251,1.5010865278435257,1.1593369346208773,-0.3417495932226484,-22.76681502921813
26,Michigan,79843,476408,7984300,9838226,1.5585432244112447,1.0921557250260363,-0.4663874993852084,-29.924579060769453
27,Minnesota,27288,270183,2728800,5557241,1.526041972051207,1.0965413712787873,-0.4295006007724198,-28.14474363343446
28,Mississippi,8072,128136,807200,2863919,1.8592273703336604,1.0957091197993525,-0.7635182505343079,-41.066426985597005
29,Missouri,37899,291781,3789900,5985747,1.6518267852274175,1.0941812553498569,-0.5576455298775607,-33.759322397764976
30,Montana,NA,50792,NA,1062053,NA,1.069795653638131,NA,NA
31,Nebraska,6219,93343,621900,1909924,1.4218255882510609,1.1140357679153718,-0.307789820335689,-21.6475088702188
32,Nevada,2694,139013,269400,3067081,1.5450445434298443,1.200237712448196,-0.3448068309816483,-22.316950825004156
33,New Hampshire,4749,64038,474900,1338974,1.4814838211553327,1.1033413519107445,-0.3781424692445883,-25.524576363560588
34,New Jersey,68772,413768,6877200,9071071,1.540574652474841,1.2484060096101135,-0.29216864286472743,-18.964913020954615
35,New Mexico,5569,89643,556900,2067536,2.0511043275273813,1.149950714280186,-0.9011536132471953,-43.93504519263247
36,New York,166825,902061,16682500,19393500,1.624048853589088,1.361867092926322,-0.2621817606627661,-16.14371144583207
37,North Carolina,43445,464947,4344500,10192603,1.6453788314727549,1.080912720070946,-0.5644661114018088,-34.30614887007895
38,North Dakota,NA,37518,NA,749636,NA,1.0530067259309894,NA,NA
39,Ohio,84550,550981,8455000,11479592,1.510531243839944,1.0811601768309054,-0.4293710670090387,-28.42516953952757
40,Oklahoma,18580,178551,1858000,3853524,1.5340850376749098,1.1430569049697483,-0.39102813270516146,-25.48933879818107
41,Oregon,13877,194727,1387700,4129453,1.4614289832096243,1.1711511104900962,-0.2902778727195281,-19.862605439917655
42,Pennsylvania,108643,611151,10864300,12568331,1.4705759536586218,1.0825522643645666,-0.3880236892940552,-26.38583123358555
44,Rhode Island,7441,46309,744100,1049253,1.5014155803431417,1.161024732198364,-0.3403908481447777,-22.671327818976206
45,South Carolina,15424,228988,1542400,5002674,1.7684496023513183,1.0522027486367005,-0.7162468537146178,-40.5014003657385
46,South Dakota,NA,42568,NA,857806,NA,1.079399907049691,NA,NA
99,State not identified,359437,NA,35943700,NA,1.6158195548408605,NA,NA,NA
47,Tennessee,18525,313806,1852500,6771069,1.643634727845246,1.105453602181089,-0.5381811256641569,-32.743353285659495
48,Texas,96834,1211253,9683400,28631256,1.791225533731278,1.2609133627715603,-0.5303121709597176,-29.606108274653245
49,Utah,7934,156832,793400,3229807,1.625323502226703,1.1562670978998633,-0.4690564043268397,-28.8592642439631
50,Vermont,NA,30604,NA,618873,NA,1.0614666498619223,NA,NA
51,Virginia,32185,390168,3218500,8386280,1.5313163481953378,1.0819477368590955,-0.4493686113362423,-29.345250043586677
53,Washington,25489,361475,2548900,7530262,1.4277472635254422,1.1798773336173465,-0.24786992990809575,-17.36091087270214
54,West Virginia,5691,81370,569100,1741106,1.504533473906168,1.0476983978383132,-0.4568350760678548,-30.36390243161488
55,Wisconsin,33248,285838,3324800,5737418,1.5038022337183194,1.0770143991600472,-0.4267878345582723,-28.380582565234764
56,Wyoming,NA,27787,NA,564463,NA,1.036548719756653,NA,NA
