tenure,YEAR,weighted_count,count,persons_per_bedroom
owner,1970,131976200,1319762,1.474495704528536
renter,1970,65228200,652282,1.8698331652056472
owner,1980,154338000,1543380,1.2758354930952178
renter,1980,66653900,666539,1.637906509096498
owner,1990,164232398,1715407,1.1922163740798537
renter,1990,77259865,732453,1.7345522087481462
owner,2000,189323765,1939436,1.2059648718691038
renter,2000,84280328,800749,1.8292152258432863
owner,2010,201981811,10785218,1.069382277776809
renter,2010,99117932,3972034,1.4962965801519497
owner,2020,217379751,10987867,1.0590591451485676
renter,2020,105534081,3896953,1.4562854376240213
