"YEAR","bedrooms_recode","weighted_count","count","percent"
1990,2,1721882,16711,45.2665004678122
2020,1,271889,8560,6.22758471255064
2010,5,100470,4769,1.96417372155692
1990,4,250037,2577,6.57321464390147
2000,5,66106,683,1.4496220908495
2020,0,70188,2243,1.60764766432075
1970,3,694800,6948,32.7226487072011
1980,3,1134700,11347,34.5260915867945
2000,2,1833439,18149,40.2050294470248
2010,4,548670,24948,10.7264177944325
1970,1,303500,3035,14.2937879715537
1980,1,355500,3555,10.8169785486079
1990,5,39635,416,1.04196323908475
2000,4,363157,3683,7.9635798512485
2010,2,2004327,79154,39.1842980273416
2020,3,1752574,66324,40.1424958347477
1970,0,21000,210,0.989026515329911
1980,0,31500,315,0.958466453674121
1990,3,1312793,13344,34.5119729160538
2000,0,112984,1099,2.47759813500349
2010,1,322039,12159,6.29581508028734
2020,5,92244,4029,2.11283768090846
1980,4,236900,2369,7.20827628175871
1970,4,163700,1637,7.70969716950031
2000,1,534354,5041,11.7177164362357
2010,0,69775,2551,1.36409098657942
1970,2,913100,9131,43.0038148165591
1980,2,1488200,14882,45.2822151224707
1990,0,61648,550,1.62066228745041
2000,3,1650183,16896,36.186454039638
2020,4,484003,19992,11.0860302683398
1970,5,27200,272,1.28102481985588
1980,5,39700,397,1.20797200669405
1990,1,417882,3831,10.9856864456974
2010,3,2069847,89702,40.4652043898022
2020,2,1694984,56247,38.8234038391326
