"YEAR","cost_burden_bin","weighted_count","count","percent"
2020,0.29,50550,1565,2.080660476959
2020,0.5,22706,721,0.934589056178656
2020,0.17,44218,1605,1.82003254144754
2020,0.36,43738,1354,1.80027552801647
2020,0.59,17052,538,0.701867902138573
2020,0.04,10556,356,0.434489653704831
2020,0.09,19617,668,0.807444442660825
2020,0.35,41245,1270,1.69766253950888
2020,0.24,59614,1925,2.45373874724894
2010,0.25,68371,2560,2.3951745488138
2010,0.1,27077,1098,0.948562128069375
2010,0.16,50498,2067,1.76904717447455
2010,0.82,9114,347,0.319281871522853
2010,0.99,6228,227,0.218179448743068
2010,0.45,29415,1117,1.03046700140934
2020,0.88,6529,194,0.268736543107128
2020,0.95,6037,197,0.248485604340287
2020,0.67,10828,341,0.445685294649101
2020,0.61,10306,324,0.424199542542818
2020,0.51,21051,652,0.866468520286131
2010,0.65,17531,633,0.614146421951627
2010,0.01,9825,395,0.344189640960284
2010,0.85,10122,386,0.354594152244274
2010,0.71,14128,530,0.494932442492304
2010,0.83,7284,294,0.2551732666417
2020,0.86,5573,174,0.229387158023591
2020,0.96,5947,193,0.244781164321962
2010,0.81,8200,295,0.287262601106802
1990,0.11,32379,329,1.45200499921299
1990,0.52,16086,151,0.721361142016125
2000,0.4,38093,355,1.49613838956077
2000,0.3,59670,572,2.34359535098551
2000,0.7,13459,123,0.528614878982973
2000,0.97,4160,36,0.163387911179818
2000,0.27,58146,555,2.28373881813983
2000,0.32,47875,461,1.88033563647447
2000,0.08,26071,279,1.02396303662717
2000,0.19,54408,538,2.13692535371912
2000,0.54,16333,154,0.641493931081722
2000,0.57,12304,121,0.483251168066461
2010,0.77,9208,354,0.322574881828223
1980,0.15,38900,389,2.06552328359794
1980,0.22,45300,453,2.40535230712048
1980,0.23,48000,480,2.54871767641905
1980,0.07,16400,164,0.870811872776509
1980,0.26,38500,385,2.04428396962778
1980,0,98900,989,5.25142037912175
1980,0.49,21800,218,1.15754261137365
2010,0.94,6514,248,0.228198607757281
2010,0.9,9409,355,0.329616318757792
1980,0.28,40500,405,2.15048053947857
2000,0.56,16485,160,0.647463873990216
2000,0.41,21861,203,0.85861132843798
2000,0.03,13878,144,0.545071497921517
2010,0.64,15259,573,0.534553662230328
1980,0.55,15500,155,0.823023416343652
1990,0.46,18488,181,0.829076513340428
1990,0.31,35852,331,1.6077483316898
2000,0.42,24743,247,0.971804588058229
2000,0.68,10867,103,0.426811642017087
2000,0.92,6500,54,0.255293611218465
2000,1,8078,77,0.317271044834271
1980,0.72,6700,67,0.355758509000159
2000,0.8,11365,103,0.44637106023044
2000,0.98,2913,26,0.11441081376606
2000,0.66,12100,112,0.47523887626822
2000,0.74,6555,54,0.257453787928775
1980,0.02,3000,30,0.159294854776191
2000,0.89,2870,28,0.112721948337999
2020,0.46,22877,720,0.941627492213473
2020,0.11,26094,892,1.07404064264625
2020,0.52,23671,720,0.974308885264026
2010,0.34,48723,1826,1.70686533094228
2010,0.21,65028,2530,2.27806249082599
2010,0.73,11456,457,0.401326872960917
2010,0.13,38961,1567,1.36488270752709
2010,0.48,30927,1128,1.08343542249147
2010,0.18,59478,2353,2.08363475471102
2020,0.31,52323,1589,2.15363794532
2010,0.6,24378,921,0.854010693875807
2010,0.75,14037,497,0.491744528260509
2010,0.39,40602,1474,1.42237025977297
1990,0.86,10700,90,0.479831171178201
1990,0.17,50725,498,2.2747136596275
1990,0.67,11470,115,0.514361077889155
1990,0.51,15714,146,0.704679161111612
1990,0.29,36880,336,1.65384799935066
1990,0.5,16976,169,0.761272332889826
1990,0.24,60400,568,2.70857969524891
1990,0.36,32933,304,1.476848594431
1990,0.09,31747,319,1.42366356928919
2000,0,121419,1352,4.76884538162075
2000,0.15,54076,556,2.12388574157688
2000,0.22,73805,690,2.89876076553521
2000,0.23,55850,536,2.19356125946943
2000,0.49,17083,148,0.670950886222314
2000,0.26,62402,609,2.45089721957764
2000,0.28,64098,581,2.51750921413557
2000,0.55,15334,140,0.602257266834453
1980,0.19,46600,466,2.4743800775235
1980,0.3,26300,263,1.39648489353794
1980,0.27,32900,329,1.74693357404556
1980,0.41,23100,231,1.22657038177667
1980,0.42,19600,196,1.04072638453778
1980,0.7,6300,63,0.334519195030001
1980,0.08,18200,182,0.966388785642224
1980,0.32,31600,316,1.67790580364254
1990,0.35,27361,263,1.22697763314082
1990,0.04,12216,121,0.547814727767561
2000,0.07,23885,249,0.938105831377392
1980,0.54,13900,139,0.738066160463017
1980,0.4,23600,236,1.25311952423937
1980,0.68,6900,69,0.366378165985239
1980,0.74,8700,87,0.461955078850953
1980,0.57,14000,140,0.743375988955557
1980,0.03,6300,63,0.334519195030001
1980,0.56,15200,152,0.807093930866033
1980,0.66,6700,67,0.355758509000159
1990,0.61,13415,122,0.601582725360333
1990,0.95,4184,37,0.187627441141083
2000,0.02,15797,144,0.620442027141246
2000,0.72,12054,118,0.473432183019597
1980,0.97,4100,41,0.217702968194127
1980,0.98,3700,37,0.196463654223969
1980,0.92,4200,42,0.223012796686667
1980,0.89,5000,50,0.265491424626985
1990,0.59,9380,93,0.420637045387993
1990,0.96,3959,38,0.177537533335934
1980,0.8,5100,51,0.270801253119524
1990,0.88,5697,53,0.255476465626375
1980,1,100,1,0.00530982849253969
2020,0.94,4968,151,0.20448508901152
2020,0.45,29174,916,1.20081481216225
2020,0.1,21595,805,0.888859802174671
2020,0.82,6053,200,0.249144171454655
2020,0.64,11589,392,0.477008393026268
2020,0.25,58511,1904,2.40833877680214
2010,0.29,55461,2133,1.94291111219321
2010,0.51,22685,838,0.79470147635461
2010,0.35,49237,1856,1.72487179154824
2010,0.86,6732,240,0.235835589103779
2010,0.17,57700,2276,2.02134781510518
2010,0.61,12172,470,0.426409802520975
2010,0.24,71271,2637,2.49676741993694
2010,0.67,12468,467,0.43677928178044
2010,0.36,47085,1756,1.64948287476997
2010,0.96,8138,309,0.285090615586238
2010,0.5,26842,1009,0.940329602305948
2010,0.59,19844,729,0.69517549467846
2010,0.04,14341,579,0.502394263716176
2010,0.09,23035,951,0.806962684938436
2020,0.83,8129,243,0.33459325454401
2020,0.77,8920,260,0.367151166260619
2020,0.81,6090,219,0.250667107906633
2020,0.65,12886,385,0.530393489734791
2020,0.71,9586,295,0.394564022396221
2020,0.16,44507,1530,1.83192790995083
2020,0.99,5587,171,0.229963404248663
2010,0.88,8848,334,0.309963352999144
1990,0.48,18570,176,0.832753724184971
1990,0.13,47140,452,2.11394779526546
1990,0.21,58566,566,2.62633573562827
1990,0.39,19249,184,0.863202823739176
1990,0.18,56056,535,2.5137772085575
1990,0.73,9064,83,0.406466330426095
2000,0.69,8466,83,0.332510109627004
2000,0.53,16034,152,0.629750424965673
2000,0.78,9201,81,0.361377925664785
2000,0.38,29198,283,1.14677890159335
2000,0.43,21915,198,0.860732229208103
2000,0.87,5015,54,0.196968840040093
2020,0.9,8411,242,0.346200499934761
1980,0.33,26100,261,1.38586523655286
1980,0.06,13800,138,0.732756331970477
1980,0.2,48600,486,2.58057664737429
1990,0.34,33354,317,1.4957279330353
2020,0.85,7260,238,0.298824828144854
1990,0.6,11801,106,0.529204453371397
1990,0.75,9690,95,0.434538696141754
2000,0.76,8446,79,0.331724590823255
2000,0.37,33054,301,1.29822692695618
2000,0.62,11159,101,0.438280216551824
1980,0.44,22200,222,1.17878192534381
1980,0.12,29800,298,1.58232889077683
1980,0.14,41700,417,2.21419848138905
1980,0.79,5300,53,0.281420910104604
2000,0.47,17360,166,0.68183032165424
2020,0.01,7842,258,0.322780206930019
2010,0.95,6991,251,0.244908883455811
1980,0.05,11700,117,0.621249933627144
2000,0.58,9875,94,0.38784990935113
2000,0.84,7805,75,0.306548713163096
2000,0.91,4933,42,0.193748212944721
2000,0.63,7996,75,0.3140504177389
1980,0.93,1700,17,0.0902670843731748
2020,0.53,18516,564,0.762126793103321
2020,0.58,12222,398,0.503062954488485
2020,0.37,39595,1230,1.6297478058396
2020,0.43,29649,859,1.22036602337008
2010,0.3,61216,2290,2.14452041333585
2010,0.27,63335,2376,2.21875327330479
2010,0.42,39644,1441,1.38880958027781
2010,0.19,63104,2460,2.21066087563947
2010,0.4,38886,1485,1.36225530568769
2010,0.03,11586,497,0.405881036149196
2010,0.32,51803,1922,1.81476396647996
2010,0.54,21498,807,0.753118463243174
2010,0.8,11325,411,0.396737677748113
2020,0.91,4299,146,0.176948751541973
2020,0.38,40078,1198,1.64962830060461
2020,0.84,7730,232,0.318170237129438
2020,0.62,14854,437,0.611397244802156
2010,0.08,20717,857,0.725758452088977
2010,0.57,21508,774,0.753468783488426
2010,0.66,16043,581,0.5620187694581
2010,0.56,22051,832,0.77249117280562
2010,0.7,13017,505,0.456011863244785
2010,0.74,10530,409,0.368887218250564
2010,0.41,34054,1277,1.19298056318183
2020,0.87,6124,200,0.252066563024667
2020,0.47,24305,727,1.00040460717089
2010,0.97,5889,210,0.206303592429019
2010,0.68,12549,502,0.439616875766982
1990,0.14,48796,488,2.18820951671135
1990,0.2,60859,579,2.72916310717141
1990,0.06,19804,203,0.888091262991877
1990,0.12,49363,484,2.21363608438033
1990,0.05,14616,145,0.655440411022484
1990,0.79,7558,68,0.33893121418363
2000,0.65,9770,102,0.383725935631447
2000,0.16,62740,614,2.464172487361
2000,0.25,67728,646,2.66008087701603
2000,0.82,5681,47,0.223126616204939
2000,0.1,36309,367,1.42607011226635
2000,0.45,26097,245,1.02498421107204
2000,0.85,7238,65,0.284279255076808
2010,0.98,4933,190,0.172812976982909
2020,0.76,8307,280,0.341919813691363
2020,0.63,13010,388,0.535497384871149
2020,0.69,10661,316,0.438811500392876
1980,0.21,50500,505,2.68146338873254
1980,0.13,33700,337,1.78941220198588
1980,0.18,45400,454,2.41066213561302
2020,0.78,8734,286,0.359495323556081
2000,0.71,6272,54,0.246338696855725
2000,0.01,13960,135,0.548292125016889
2000,0.64,11213,108,0.440401117321946
2010,1,2921,112,0.102328543638167
2010,0.89,8331,313,0.291851796319606
2010,0.92,7084,268,0.248166861736657
1980,0.48,16000,160,0.849572558806351
1980,0.73,6600,66,0.35044868050762
1980,0.6,10500,105,0.557531991716668
1980,0.34,28100,281,1.49206180640365
1990,0.44,18397,176,0.824995706183678
1990,0.33,33474,317,1.50110921719805
1980,0.39,22700,227,1.20533106780651
1980,0.75,5000,50,0.265491424626985
2000,0.83,6131,57,0.240800789289294
2000,0.99,3083,29,0.121087723597927
2000,0.94,5011,45,0.196811736279343
2000,0.81,7733,69,0.303720845469599
1990,0.93,6293,57,0.282203510301347
