"YEAR","cost_burden_bin","weighted_count","count","percent"
2020,0.31,26864,1175,2.24998408662238
2020,0.52,8053,336,0.674475947348496
2020,0.11,21171,1000,1.77316904027257
2010,0.13,16430,873,1.19590060122574
2010,0.75,5767,263,0.419766206163656
2010,0.18,24939,1300,1.81525046220139
2010,0.48,15680,739,1.14130988601459
2010,0.39,23776,1142,1.73059845981395
1980,0.42,8700,87,1.2400228050171
1980,0.4,10300,103,1.46807297605473
1980,0.57,6600,66,0.940706955530217
1990,0.36,17201,193,1.73653631623315
1990,0.35,18165,192,1.83385746086711
2010,0.21,30989,1589,2.25561556490472
2010,0.34,28128,1373,2.04737018327923
2010,0.6,8567,420,0.623571542951975
2010,0.73,4762,227,0.346614647780705
1990,0.09,10947,124,1.10516034264312
1990,0.17,19678,222,1.9866031992812
1990,0.61,5325,52,0.537588273003983
2020,0.46,10071,444,0.84349276862619
1990,0.29,24489,275,2.47230032255296
1990,0.24,27755,296,2.80202112999541
1990,0.96,1359,13,0.13719858460327
1980,0.08,7300,73,1.04047890535918
1980,0.27,19100,191,2.72234891676169
1980,0.3,17500,175,2.49429874572406
1980,0.56,5700,57,0.812428734321551
1980,0.54,5600,56,0.798175598631699
1990,0.5,7777,80,0.78513126744638
1980,0.32,14800,148,2.10946408209806
1980,0.7,3600,36,0.513112884834664
1980,0.89,1100,11,0.156784492588369
1990,0.88,1629,21,0.164456581544317
1980,0.66,2900,29,0.413340935005701
1980,0.19,16400,164,2.33751425313569
1990,0.67,3008,37,0.303674277032109
1990,0.51,7542,86,0.761406714553246
1980,0.68,2800,28,0.399087799315849
1980,0.41,10200,102,1.45381984036488
1980,0.97,1000,10,0.142531356898518
1990,0.59,5295,54,0.5345596066772
1990,0.86,1971,17,0.198983377669643
1980,0.92,1500,15,0.213797035347777
1990,0.04,4043,43,0.408163265306122
1980,0.98,1100,11,0.156784492588369
1980,0.74,3100,31,0.441847206385405
1980,0.8,2100,21,0.299315849486887
1990,0.95,1390,15,0.140328206474279
1980,0.03,900,9,0.128278221208666
2020,0.25,32768,1471,2.74447135759537
2020,0.01,1843,104,0.154359762940926
2020,0.1,17942,860,1.50272537530445
2020,0.16,29302,1335,2.45417784790831
2010,0.35,27801,1330,2.02356863144716
2010,0.29,31789,1565,2.31384566112995
2010,0.36,26875,1343,1.95616729506646
2010,0.5,13827,643,1.00643442563289
