"YEAR","bedrooms_recode","weighted_count","count","weighted_mean"
1980,0,22000,220,0.377436356684533
1980,1,276000,2760,0.377084698163737
1980,2,1066700,10667,0.331897511444561
1980,3,451800,4518,0.309044917226923
1980,4,57600,576,0.309548940747017
1980,5,9200,92,0.272141629413719
1990,0,41814,367,0.41475809434047
1990,1,305950,2794,0.38562110258464
1990,2,1236529,11800,0.32961290523216
1990,3,563989,5530,0.320134145883688
1990,4,71285,704,0.30236585497452
1990,5,10384,110,0.326751242828105
2000,0,74386,736,0.389276969341335
2000,1,394044,3673,0.343401713193749
2000,2,1306217,12624,0.317891961524141
2000,3,670610,6661,0.305261055056642
2000,4,90328,934,0.293986999877936
2000,5,10503,118,0.290535638066614
2010,0,52119,1804,0.384566982610095
2010,1,242044,9043,0.404784389746505
2010,2,1437075,54593,0.350225098297858
2010,3,948059,37368,0.344896127805706
2010,4,153122,6159,0.342864841371249
2010,5,22112,894,0.365657542979634
2020,0,49803,1470,0.363537709046143
2020,1,203946,6268,0.394257139362635
2020,2,1210549,38146,0.354328563808014
2020,3,817493,27137,0.343293994556018
2020,4,129050,4668,0.347796292343396
2020,5,18676,666,0.345727510264003
