"stat","1970","1980","1990","2000","2010","2020"
"n (unweighted)",21233,32865,37429,45551,213283,157395
"Mean householder age",35.0966891159987,33.3099041533546,33.7419457815485,35.1922693910509,36.0957886746776,37.2263795636654
"Mean HHINCOME (nominal $)",NA,8256.80830670926,14333.1974029726,23648.7723061723,30592.3276196579,43520.3920160691
"Mean HHINCOME (2022 $, R-CPI-U-RS)",NA,28031.5718673882,31299.4670009244,40413.6445549044,39182.5151911025,43520.3920160691
"Mean bedrooms (0 = studio, 5 = 5+)",2.35713276503556,2.39832648714438,2.35544676620218,2.39415222985423,2.58780509593959,2.59209050546878
"Mean # children",2.41350727640936,1.93534154876008,1.84537539501548,1.81443503935806,1.82579551849914,1.82469386609927
"% renter",66.0151650732351,66.605811653735,71.3374745667861,65.5486148595327,68.6449370284366,68.8536454927631
"% owner",33.9848349267649,33.394188346265,28.6625254332139,34.4513851404673,31.3550629715634,31.1463545072369
"% AAPI",0.574577308905948,0.830670926517572,1.30580071770546,1.56778245852078,2.13378273320063,2.53227961966449
"% White",71.5537135590826,68.6809675947056,61.7905086331596,57.9154091590446,57.7125528509765,50.3691242503398
"% Black",27.0333914190176,29.0400121710026,30.903448959047,31.4113050552896,31.1936144662865,31.7311037539981
"% Other",0.178966702773984,0.450327095694508,4.76370644716089,5.43319593400298,5.32179937965772,5.7728270591105
"% Multiracial",NA,NA,NA,2.57488583240537,2.5988732813964,8.62967217075933
"% AIAN",0.659351010219941,0.99802221207972,1.23653524292706,1.09742156073664,1.03937728848223,0.964993146127763
"% Hispanic (any race_bucket)",5.04403522818255,8.8604898828541,9.57912212558653,11.6096693434393,17.1581700782495,19.5548246794369
