cluster_name,YEAR,weighted_count,count
Adult child + parent,1900,868420,8659
Adult child + parent,1910,1130294,11270
Adult child + parent,1920,1384238.93,13694
Adult child + parent,1930,1703206.6000000003,16872
Adult child + parent,1940,1895159,19318
Adult child + parent,1950,2403017,31229
Adult child + parent,1960,2292051,23008
Adult child + parent,1970,2075900,20759
Adult child + parent,1980,1825800,18258
Adult child + parent,1990,1701074,17059
Adult child + parent,2000,2371437,23106
Adult child + parent,2006,2644644,26952
Adult child + parent,2011,2792315,28454
Adult child + parent,2016,3253697,31898
Adult child + parent,2021,4108941,37687
Adult child + parent,2023,4243325,39669
Extended family,1900,440280,4390
Extended family,1910,596102,5944
Extended family,1920,707694.61,7008
Extended family,1930,811623.6,8040
Extended family,1940,805243,8404
Extended family,1950,784340,12689
Extended family,1960,685899,6885
Extended family,1970,542600,5426
Extended family,1980,651500,6515
Extended family,1990,832154,8100
Extended family,2000,1073278,10262
Extended family,2006,1234160,10434
Extended family,2011,1210053,11094
Extended family,2016,1155385,10645
Extended family,2021,1315849,11310
Extended family,2023,1434807,12184
Few roommates,1900,1891025,18856
Few roommates,1910,2142767,21366
Few roommates,1920,1990541.09,19688
Few roommates,1930,2485640.8000000007,24623
Few roommates,1940,2609752,26185
Few roommates,1950,2191454,22800
Few roommates,1960,1681595,16880
Few roommates,1970,1934900,19349
Few roommates,1980,4131700,41317
Few roommates,1990,6660832,61884
Few roommates,2000,9285909,87630
Few roommates,2006,9734548,88444
Few roommates,2011,10451376,96934
Few roommates,2016,11508516,107952
Few roommates,2021,13338630,118650
Few roommates,2023,13771111,122764
Large grandfamily,1900,105898,1056
Large grandfamily,1910,118835,1185
Large grandfamily,1920,130477.38,1297
Large grandfamily,1930,174035.6,1724
Large grandfamily,1940,202777,2403
Large grandfamily,1950,250921,6102
Large grandfamily,1960,275343,2764
Large grandfamily,1970,224500,2245
Large grandfamily,1980,188800,1888
Large grandfamily,1990,313338,3255
Large grandfamily,2000,415084,4297
Large grandfamily,2006,392527,4076
Large grandfamily,2011,509451,5605
Large grandfamily,2016,554100,5901
Large grandfamily,2021,517752,5345
Large grandfamily,2023,541294,5545
Many roommates,1900,142814,1424
Many roommates,1910,204194,2036
Many roommates,1920,133069.6,1322
Many roommates,1930,135463.1,1342
Many roommates,1940,NA,NA
Many roommates,1950,NA,NA
Many roommates,1960,NA,NA
Many roommates,1970,NA,NA
Many roommates,1980,38500,385
Many roommates,1990,72727,716
Many roommates,2000,81853,794
Many roommates,2006,68853,543
Many roommates,2011,67320,593
Many roommates,2016,70900,676
Many roommates,2021,87542,751
Many roommates,2023,99729,825
Nuclear family,1900,9744627,97165
Nuclear family,1910,12609823,125733
Nuclear family,1920,15779889.120000001,156219
Nuclear family,1930,19196038.999999996,190157
Nuclear family,1940,22056426,223645
Nuclear family,1950,29317404,307396
Nuclear family,1960,35975967,361142
Nuclear family,1970,41047300,410473
Nuclear family,1980,46347000,463470
Nuclear family,1990,47920718,500361
Nuclear family,2000,51169438,524208
Nuclear family,2006,51650911,579441
Nuclear family,2011,51455255,565145
Nuclear family,2016,52461834,579587
Nuclear family,2021,55382391,596867
Nuclear family,2023,56274786,628816
Single person,1900,2137178,21310
Single person,1910,2548900,25415
Single person,1920,3132896.99,30967
Single person,1930,3928223.200000001,38914
Single person,1940,5468492,54686
Single person,1950,7150017,36502
Single person,1960,10627282,106680
Single person,1970,16178100,161781
Single person,1980,25469900,254699
Single person,1990,31463194,299439
Single person,2000,37569346,368523
Single person,2006,42481203,418170
Single person,2011,44583220,454565
Single person,2016,45687942,452047
Single person,2021,48775077,469500
Single person,2023,50822755,490270
Small grandfamily,1900,557593,5560
Small grandfamily,1910,630138,6283
Small grandfamily,1920,748442.55,7414
Small grandfamily,1930,962651.6499999999,9536
Small grandfamily,1940,1201369,12453
Small grandfamily,1950,1422568,21742
Small grandfamily,1960,1117125,11214
Small grandfamily,1970,1273100,12731
Small grandfamily,1980,1539100,15391
Small grandfamily,1990,2317560,23799
Small grandfamily,2000,2954809,30449
Small grandfamily,2006,2833104,30607
Small grandfamily,2011,3337505,37521
Small grandfamily,2016,3484296,37292
Small grandfamily,2021,3353268,35235
Small grandfamily,2023,3387596,36713
Some roommates,1900,291217,2904
Some roommates,1910,377651,3766
Some roommates,1920,329608.17,3264
Some roommates,1930,338268.9,3351
Some roommates,1940,314457,3260
Some roommates,1950,315461,5258
Some roommates,1960,140565,1411
Some roommates,1970,170000,1700
Some roommates,1980,269200,2692
Some roommates,1990,426745,4169
Some roommates,2000,554847,5486
Some roommates,2006,575677,4661
Some roommates,2011,584104,4906
Some roommates,2016,679968,6115
Some roommates,2021,661374,5620
Some roommates,2023,750485,6185
