cluster_name,YEAR,weighted_count,count,percent,rel_percent
Adult child + parent,1900,868420,8659,5.367558000308053,1.6611956915436816
Adult child + parent,1910,1130294,11270,5.5518956412942595,1.7182460103251531
Adult child + parent,1920,1384238.93,13694,5.687829155980413,1.7603158247398403
Adult child + parent,1930,1703206.6000000003,16872,5.7279228780278215,1.7727243573200717
Adult child + parent,1940,1895159,19318,5.4846814412649305,1.6974440107020716
Adult child + parent,1950,2403017,31229,5.4819368606704995,1.6965945954822823
Adult child + parent,1960,2292051,23008,4.341348796373622,1.3435960851490214
Adult child + parent,1970,2075900,20759,3.2718956473495737,1.01261298941636
Adult child + parent,1980,1825800,18258,2.2691597844932048,0.7022781043461407
Adult child + parent,1990,1701074,17059,1.8548737910887105,0.5740614912660505
Adult child + parent,2000,2371437,23106,2.2483190275672285,0.6958281366677376
Adult child + parent,2006,2644644,26952,2.3694209055511553,0.7333077350126836
Adult child + parent,2011,2792315,28454,2.4282985081241293,0.7515296563625847
Adult child + parent,2016,3253697,31898,2.7374970845128566,0.8472229572824658
Adult child + parent,2021,4108941,37687,3.221667283567182,0.9970679051333752
Adult child + parent,2023,4243325,39669,3.231141296375624,1
Extended family,1900,440280,4390,2.721296649519391,2.490764953123025
Extended family,1910,596102,5944,2.9279958095564433,2.679953817832495
Extended family,1920,707694.61,7008,2.9079127519467955,2.661572074682774
Extended family,1930,811623.6,8040,2.7295087905291706,2.498281411507257
Extended family,1940,805243,8404,2.330412032873493,2.1329937031461146
Extended family,1950,784340,12689,1.7892933580154862,1.6377153103789266
Extended family,1960,685899,6885,1.2991538138042613,1.189097406455581
Extended family,1970,542600,5426,0.8552100670802442,0.7827618731010696
Extended family,1980,651500,6515,0.809704019935,0.7411108214215123
Extended family,1990,832154,8100,0.907391827016129,0.8305231117971653
Extended family,2000,1073278,10262,1.0175565909063997,0.9313553871080618
Extended family,2006,1234160,10434,1.1057233052142421,1.0120531537660145
Extended family,2011,1210053,11094,1.0523060237298183,0.9631610593903394
Extended family,2016,1155385,10645,0.9720828549769346,0.8897339094346568
Extended family,2021,1315849,11310,1.0317080905796876,0.9443080578235394
Extended family,2023,1434807,12184,1.0925545769010905,1
Few roommates,1900,1891025,18856,11.688107560319356,1.1146167541590892
Few roommates,1910,2142767,21366,10.52506583916147,1.003705233068229
Few roommates,1920,1990541.09,19688,8.17912096134952,0.7799881384360633
Few roommates,1930,2485640.8000000007,24623,8.359267046569324,0.7971674674032138
Few roommates,1940,2609752,26185,7.552748007266954,0.7202551332964807
Few roommates,1950,2191454,22800,4.999303983727044,0.4767502310052483
Few roommates,1960,1681595,16880,3.1850907459030804,0.3037408314886899
Few roommates,1970,1934900,19349,3.0496608160589096,0.2908257836043446
Few roommates,1980,4131700,41317,5.135002454590083,0.48969088785300063
Few roommates,1990,6660832,61884,7.263060104172421,0.6926295327790297
Few roommates,2000,9285909,87630,8.803812158179944,0.8395607656188216
Few roommates,2006,9734548,88444,8.721492018317472,0.8317104436892958
Few roommates,2011,10451376,96934,9.088896040971141,0.8667473114698004
Few roommates,2016,11508516,107952,9.68268680122014,0.9233731703971555
Few roommates,2021,13338630,118650,10.458321956583879,0.997340314763475
Few roommates,2023,13771111,122764,10.486211979773554,1
Large grandfamily,1900,105898,1056,0.6545377318769975,1.588004834124387
Large grandfamily,1910,118835,1185,0.5837061141023515,1.4161569085473076
Large grandfamily,1920,130477.38,1297,0.5361307430935609,1.3007320591187368
Large grandfamily,1930,174035.6,1724,0.5852857162667751,1.4199892557916822
Large grandfamily,1940,202777,2403,0.5868464063518569,1.4237757195491998
Large grandfamily,1950,250921,6102,0.5724192042820765,1.3887732047759092
Large grandfamily,1960,275343,2764,0.5215241727343337,1.2652943704863118
Large grandfamily,1970,224500,2245,0.35384198315428456,0.8584727089052799
Large grandfamily,1980,188800,1888,0.23464638367417956,0.5692866483279019
Large grandfamily,1990,313338,3255,0.3416679368164785,0.8289366814254717
Large grandfamily,2000,415084,4297,0.3935340703711359,0.9547715520538546
Large grandfamily,2006,392527,4076,0.3516774582111159,0.8532212529449372
Large grandfamily,2011,509451,5605,0.44303708688394605,1.0748731530733273
Large grandfamily,2016,554100,5901,0.4661918840410074,1.1310500975454805
Large grandfamily,2021,517752,5345,0.4059500195796132,0.9848944714870308
Large grandfamily,2023,541294,5545,0.41217615829104465,1
Many roommates,1900,142814,1424,0.8827093206697154,11.623758924969382
Many roommates,1910,204194,2036,1.0029813292633951,13.207533787858672
Many roommates,1920,133069.6,1322,0.5467821589547776,7.200177738400397
Many roommates,1930,135463.1,1342,0.4555655136720176,5.999011884722985
Many roommates,1940,NA,NA,NA,NA
Many roommates,1950,NA,NA,NA,NA
Many roommates,1960,NA,NA,NA,NA
Many roommates,1970,NA,NA,NA,NA
Many roommates,1980,38500,385,0.047848971247118184,0.630088403464816
Many roommates,1990,72727,716,0.07930249136986905,1.0442770006477946
Many roommates,2000,81853,794,0.07760343511696087,1.021903360966747
Many roommates,2006,68853,543,0.06168759863706181,0.8123192521332544
Many roommates,2011,67320,593,0.05854391627266852,0.7709223787971247
Many roommates,2016,70900,676,0.05965169568400546,0.7855099225308371
Many roommates,2021,87542,751,0.06863841494390846,0.9038495115183397
Many roommates,2023,99729,825,0.07594009187282251,1
Nuclear family,1900,9744627,97165,60.229900985546,1.4055575850752953
Nuclear family,1910,12609823,125733,61.93824027305471,1.4454243157879396
Nuclear family,1920,15779889.120000001,156219,64.83946627254163,1.5131288967829355
Nuclear family,1930,19196038.999999996,190157,64.55671963437335,1.5065305681217722
Nuclear family,1940,22056426,223645,63.83235936553782,1.4896265046328865
Nuclear family,1950,29317404,307396,66.88099070741853,1.560771016520878
Nuclear family,1960,35975967,361142,68.14168665262123,1.5901912997897905
Nuclear family,1970,41047300,410473,64.69602688253391,1.5097815175024634
Nuclear family,1980,46347000,463470,57.601461568576276,1.3442188994892228
Nuclear family,1990,47920718,500361,52.25339042766688,1.2194134152591984
Nuclear family,2000,51169438,524208,48.512872610708854,1.1321226659186616
Nuclear family,2006,51650911,579441,46.27569847365549,1.079914758782566
Nuclear family,2011,51455255,565145,44.747357999239576,1.0442485778451545
Nuclear family,2016,52461834,579587,44.13874974319903,1.0300457660088453
Nuclear family,2021,55382391,596867,43.423265792919764,1.0133488450964898
Nuclear family,2023,56274786,628816,42.85125108006123,1
Single person,1900,2137178,21310,13.2095378641468,0.3413341701131121
Single person,1910,2548900,25415,12.51995215412533,0.3235152904162755
Single person,1920,3132896.99,30967,12.873054251122152,0.3326394408962662
Single person,1930,3928223.200000001,38914,13.21070475964552,0.3413643226673317
Single person,1940,5468492,54686,15.826079281002672,0.4089455432189927
Single person,1950,7150017,36502,16.311137934821396,0.42147944824732664
Single person,1960,10627282,106680,20.129018909013396,0.5201334092956935
Single person,1970,16178100,161781,25.498846270237557,0.658889631113944
Single person,1980,25469900,254699,31.654766565375986,0.8179584771881634
Single person,1990,31463194,299439,34.30788662606069,0.8865150416522569
Single person,2000,37569346,368523,35.61885703270073,0.9203904883480774
Single person,2006,42481203,418170,38.0602646258485,0.9834764072716132
Single person,2011,44583220,454565,38.77118685154427,1.0018466220678073
Single person,2016,45687942,452047,38.43953755447803,0.9932768114698182
Single person,2021,48775077,469500,38.24271748471689,0.9881909851627627
Single person,2023,50822755,490270,38.699723088870336,1
Small grandfamily,1900,557593,5560,3.446388577031584,1.3360508167790055
Small grandfamily,1910,630138,6283,3.0951773747484124,1.1998978545739931
Small grandfamily,1920,748442.55,7414,3.075345784030455,1.1922098030427943
Small grandfamily,1930,962651.6499999999,9536,3.237419588208635,1.2550404542043778
Small grandfamily,1940,1201369,12453,3.4768197594033055,1.3478479792737548
Small grandfamily,1950,1422568,21742,3.24526541260853,1.2580820207205983
Small grandfamily,1960,1117125,11214,2.1159342763965037,0.8202777066610313
Small grandfamily,1970,1273100,12731,2.006575629192515,0.7778829776126368
Small grandfamily,1980,1539100,15391,1.9128403025049245,0.741544892982067
Small grandfamily,1990,2317560,23799,2.5270983527321866,0.9796724144080099
Small grandfamily,2000,2954809,30449,2.8014040843281496,1.0860116702854212
Small grandfamily,2006,2833104,30607,2.5382682301287436,0.9840026062843551
Small grandfamily,2011,3337505,37521,2.902415527029301,1.125170464341412
Small grandfamily,2016,3484296,37292,2.93151149033847,1.1364500065855048
Small grandfamily,2021,3353268,35235,2.629172287612004,1.0192431015257954
Small grandfamily,2023,3387596,36713,2.5795340519608745,1
Some roommates,1900,291217,2904,1.7999633105821033,3.1497202493003122
Some roommates,1910,377651,3766,1.854985464693627,3.2460024301349555
Some roommates,1920,329608.17,3264,1.3543579209806997,2.3699641783996244
Some roommates,1930,338268.9,3351,1.1376060727073893,1.9906743997880099
Some roommates,1940,314457,3260,0.9100537062989682,1.5924850077936692
Some roommates,1950,315461,5258,0.719652538456439,1.259305764462261
Some roommates,1960,140565,1411,0.26624263315356345,0.46589272566873363
Some roommates,1970,170000,1700,0.26794270439299944,0.4688676467555268
Some roommates,1980,269200,2692,0.3345699496032264,0.5854573473121908
Some roommates,1990,426745,4169,0.4653284430766396,0.8142690526619072
Some roommates,2000,554847,5486,0.5260409901205867,0.9205087397081256
Some roommates,2006,575677,4661,0.5157673844362314,0.9025311600168618
Some roommates,2011,584104,4906,0.5079580462051511,0.8888657532747022
Some roommates,2016,679968,6115,0.5720908915495321,1.0010905527685963
Some roommates,2021,661374,5620,0.5185586694970702,0.9074155746190963
Some roommates,2023,750485,6185,0.5714676758934233,1
