STATEFIP,state_name,count_1970,count_2020,weighted_count_1970,weighted_count_2020,bedroom_1970,bedroom_2020,change_bedroom,pct_change_bedroom
1,Alabama,24222,224145,2422200,4894273,2.6727768144661876,3.125558177894858,0.45278136342867015,16.94048530270196
2,Alaska,2724,30216,272400,704486,2.5040381791483113,3.0023549084013026,0.4983167292529913,19.90052441702314
4,Arizona,17212,324228,1721200,7015059,2.5990006971880084,3.055708726042076,0.45670802885406747,17.572447339017767
5,Arkansas,11499,138493,1149900,2935348,2.5759631272284547,2.981418216851971,0.4054550896235165,15.73994151305093
6,California,193505,1749983,19350500,38476250,2.6237048138291,2.894905064812709,0.2712002509836089,10.33653822465693
8,Colorado,16717,267166,1671700,5645717,2.837889573488066,3.1868513777789427,0.34896180429087664,12.296525120319101
9,Connecticut,29426,163404,2942600,3499042,2.85264731869775,2.9891536026146586,0.13650628391690844,4.785249232254352
10,Delaware,NA,43657,NA,969992,NA,3.1571002647444515,NA,NA
11,District of Columbia,7116,29237,711600,641816,2.3479482855536817,2.4603640295661062,0.11241574401242449,4.787828790952913
12,Florida,61583,914372,6158300,21161442,2.5221895653021127,2.924356761698943,0.4021671963968303,15.945161376030747
13,Georgia,28612,445919,2861200,10472621,2.681497273871103,3.2395229427284726,0.5580256688573697,20.810226968897283
15,Hawaii,7241,69058,724100,1409907,2.7305620770611796,3.048657819274605,0.3180957422134254,11.649460193037696
16,Idaho,NA,84097,NA,1805642,NA,3.2691845891932068,NA,NA
17,Illinois,98635,594328,9863500,12477820,2.683743093222487,3.00702125852112,0.3232781652986332,12.045794029802572
18,Indiana,35030,312218,3503000,6604292,2.7328860976306024,3.06522576530535,0.33233966767474765,12.160758107075315
19,Iowa,17215,153968,1721500,3089878,2.925994772001162,3.102625734737747,0.17663096273658496,6.036612383137738
20,Kansas,15717,139452,1571700,2848003,2.7952535471145894,3.163303549890923,0.3680500027763336,13.166963088420175
21,Kentucky,7351,210378,735100,4379777,2.708339001496395,3.0460005155513628,0.3376615140549677,12.467475964729859
22,Louisiana,30834,196117,3083400,4516385,2.6479535577609132,3.015426718492777,0.36747316073186376,13.87762861832803
23,Maine,5877,63538,587700,1328708,2.998468606431853,2.9211271400488292,-0.07734146638302386,-2.579365554040581
24,Maryland,31583,279631,3158300,6034445,2.897381502707153,3.228384880465395,0.33100337775824196,11.424224854371808
25,Massachusetts,50712,317176,5071200,6754251,2.870602618709575,2.953723810382528,0.08312119167295284,2.8956007749452413
26,Michigan,79843,476408,7984300,9838226,2.894330122866125,3.0704583326302934,0.17612820976416854,6.085284065307544
27,Minnesota,27288,270183,2728800,5557241,2.9061858692465554,3.1741401893493553,0.26795432010279985,9.220137051050642
28,Mississippi,8072,128136,807200,2863919,2.677155599603568,3.075221051992043,0.398065452388475,14.868969605181723
29,Missouri,37899,291781,3789900,5985747,2.6427346367978046,3.051219672331624,0.4084850355338192,15.456907017678459
30,Montana,NA,50792,NA,1062053,NA,3.1172869903856024,NA,NA
31,Nebraska,6219,93343,621900,1909924,2.8866377231066087,3.129320328976441,0.24268260586983237,8.407102974066888
32,Nevada,2694,139013,269400,3067081,2.730512249443207,3.061820995272052,0.33130874582884484,12.133574786064548
33,New Hampshire,4749,64038,474900,1338974,2.9246157085702253,2.9462013452090927,0.021585636638867367,0.7380674519258487
34,New Jersey,68772,413768,6877200,9071071,2.831035886698075,3.0088651053442312,0.1778292186461563,6.281418737279379
35,New Mexico,5569,89643,556900,2067536,2.6063925300772133,2.9865216373499663,0.38012910727275306,14.584491893916374
36,New York,166825,902061,16682500,19393500,2.6631619961037014,2.791388403331013,0.1282264072273116,4.814818152816512
37,North Carolina,43445,464947,4344500,10192603,2.7347450799861894,3.066664423209655,0.3319193432234657,12.137121871159628
38,North Dakota,NA,37518,NA,749636,NA,3.1785546585276054,NA,NA
39,Ohio,84550,550981,8455000,11479592,2.8677823772915434,3.055724105874146,0.1879417285826026,6.5535561579154
40,Oklahoma,18580,178551,1858000,3853524,2.6115715823466092,3.012731203957728,0.40115962161111884,15.360851079971534
41,Oregon,13877,194727,1387700,4129453,2.7593139727606832,2.94116339379574,0.18184942103505675,6.590385249023224
42,Pennsylvania,108643,611151,10864300,12568331,2.909768691954383,3.0810935039823506,0.1713248120279678,5.887918599910955
44,Rhode Island,7441,46309,744100,1049253,2.7742238946378177,2.838471750855132,0.06424785621731433,2.3158857632758605
45,South Carolina,15424,228988,1542400,5002674,2.765300829875519,3.1168692982992696,0.3515684684237508,12.713570423351616
46,South Dakota,NA,42568,NA,857806,NA,3.225640762596671,NA,NA
99,State not identified,359437,NA,35943700,NA,2.7924865831842576,NA,NA,NA
47,Tennessee,18525,313806,1852500,6771069,2.6405937921727394,3.056838144759712,0.4162443525869728,15.763286038951021
48,Texas,96834,1211253,9683400,28631256,2.5988495776276928,3.0330354001934112,0.43418582256571847,16.70684699504833
49,Utah,7934,156832,793400,3229807,2.918452230904966,3.661285952999669,0.7428337220947028,25.453002595980873
50,Vermont,NA,30604,NA,618873,NA,2.930431607131027,NA,NA
51,Virginia,32185,390168,3218500,8386280,2.856889855522759,3.2206273818665725,0.3637375263438134,12.731940842614529
53,Washington,25489,361475,2548900,7530262,2.8572717642904784,3.028295031434497,0.17102326714401883,5.985544297235848
54,West Virginia,5691,81370,569100,1741106,2.785274995607099,3.0397770152994705,0.25450201969237174,9.137410851487525
55,Wisconsin,33248,285838,3324800,5737418,2.96471968238691,3.0182031359751025,0.05348345358819229,1.8039969817697064
56,Wyoming,NA,27787,NA,564463,NA,3.217061171414247,NA,NA
