birthplace,YEAR,weighted_count,count,percent_crowded
U.S.-born,1970,28242800,282428,15.100921257358562
NA,1970,1439400,14394,14.143101381492325
U.S.-born,1980,15599300,155993,7.56624643012355
NA,1980,2986600,29866,20.14936953104444
U.S.-born,1990,15279557,155138,6.931961680946551
NA,1990,6403329,60210,30.390120182644587
U.S.-born,2000,18451825,183832,7.652376414908353
NA,2000,10582219,98922,32.58205770125439
U.S.-born,2010,12407172,530532,4.781945904257482
NA,2010,6268868,237719,15.054521015403555
U.S.-born,2020,13438036,529992,4.889686593542845
NA,2020,5670638,207563,11.79177952160955
