inctot_binned,YEAR,weighted_count,count,percent_crowded
"less than $50,000",1970,10202800,102028,10.664587294436389
"$50,000 - $99,999",1970,1769100,17691,6.9817828784314955
"$100,000 - $149,999",1970,161200,1612,3.825162545678895
"$150,000 and greater",1970,53300,533,2.3473971637452657
"less than $50,000",1980,7959300,79593,6.838056961900254
"$50,000 - $99,999",1980,1028300,10283,3.2603974114670367
"$100,000 - $149,999",1980,99500,995,1.671791252919334
"$150,000 and greater",1980,36600,366,1.2144136969938284
"less than $50,000",1990,10465292,102082,8.247766684922107
"$50,000 - $99,999",1990,1217273,11647,3.1532619279252936
"$100,000 - $149,999",1990,129061,1263,1.5500244103533527
"$150,000 and greater",1990,47872,480,1.06179937643241
"less than $50,000",2000,14355398,137136,10.219405368829863
"$50,000 - $99,999",2000,1569660,14774,3.6386637193751716
"$100,000 - $149,999",2000,224179,2111,2.2356252633363503
"$150,000 and greater",2000,134896,1308,1.6661003733583515
"less than $50,000",2010,9230762,369134,5.609262085129805
"$50,000 - $99,999",2010,771025,33705,1.7555908347285956
"$100,000 - $149,999",2010,115868,5274,1.033373445955473
"$150,000 and greater",2010,49619,2315,0.6446839140196241
"less than $50,000",2020,9067419,354799,5.257626187504263
"$50,000 - $99,999",2020,1170742,48149,2.245082406545349
"$100,000 - $149,999",2020,205311,8831,1.4673099710270048
"$150,000 and greater",2020,121097,5212,1.0729565629665228
