hhincome_2020_binned,YEAR,weighted_count,count,percent_crowded
"less than $50,000",1970,12843000,128430,19.685956645830586
"$50,000 - $99,999",1970,12436400,124364,14.692699017289005
"$100,000 - $149,999",1970,3241600,32416,10.040358424937356
"$150,000 and greater",1970,1161200,11612,7.722849979050141
"less than $50,000",1980,8577100,85771,11.564125069603708
"$50,000 - $99,999",1980,6724900,67249,7.919091004367634
"$100,000 - $149,999",1980,2268700,22687,5.593952111016044
"$150,000 and greater",1980,1015200,10152,4.7560152912075555
"less than $50,000",1990,10104092,99649,12.819765157337459
"$50,000 - $99,999",1990,7311145,72665,8.507873851411807
"$100,000 - $149,999",1990,2788560,27463,6.112116758140776
"$150,000 and greater",1990,1479089,15571,4.753287717800117
"less than $50,000",2000,12238965,119207,14.404150356127424
"$50,000 - $99,999",2000,10277369,99891,11.092951287545127
"$100,000 - $149,999",2000,3969341,38413,7.7121033346278995
"$150,000 and greater",2000,2548369,25243,5.724221943120704
"less than $50,000",2010,9361276,368980,8.683310229229663
"$50,000 - $99,999",2010,5882974,247451,6.109156794211463
"$100,000 - $149,999",2010,2137440,93147,4.131937122736302
"$150,000 and greater",2010,1294350,58673,2.8595143056352104
"less than $50,000",2020,7266652,259108,7.279276740822678
"$50,000 - $99,999",2020,6256364,242369,6.251351291453436
"$100,000 - $149,999",2020,2932375,119998,4.956771727322897
"$150,000 and greater",2020,2653283,116080,4.155617005558441
