race_eth,age_bucket,count_1970,count_2020,weighted_count_1970,weighted_count_2020,pct_crowded_1970,pct_crowded_2020,change_pct_crowded,pct_change_pct_crowded
AAPI,17 or younger,1598,23873,159800,570876,34.15989739204788,15.384814396199475,-18.775082995848408,-54.962351848922935
AAPI,18-29,633,11664,63300,257268,22.70444763271162,8.699824798294852,-14.004622834416768,-61.68228825016422
AAPI,30-49,854,23146,85400,540698,20.386727142516115,8.69318599290555,-11.693541149610565,-57.35859938608741
AAPI,50-65,213,10198,21300,210717,13.131935881627621,6.1137997667252755,-7.018136114902346,-53.443271259960575
AAPI,65 and older,92,6382,9200,142452,9.663865546218489,5.573610138389486,-4.0902554078290025,-42.32525161144793
AIAN,17 or younger,2060,7486,206000,93562,61.32777612384638,20.41888815900029,-40.90888796484609,-66.70531780287283
AIAN,18-29,559,2564,55900,38039,42.80245022970903,12.196169840297795,-30.606280389411236,-71.50590731408064
AIAN,30-49,630,3249,63000,44743,42.74084124830394,10.140792080105527,-32.60004916819841,-76.27376583162612
AIAN,50-65,143,1489,14300,16181,21.699544764795146,4.99924305386058,-16.700301710934568,-76.96153026227888
AIAN,65 and older,84,719,8400,9199,19.58041958041958,4.115736349481898,-15.464683230937682,-78.9803465008603
All,17 or younger,174958,320564,17495800,8544105,25.09765330816271,11.700081784538522,-13.397571523624187,-53.38176983768753
All,18-29,47422,120643,4742200,3280976,14.201647704982346,6.542793261914596,-7.658854443067749,-53.92933694856269
All,30-49,57942,190912,5794200,4983382,12.66921033355563,5.914452852208726,-6.754757481346905,-53.31632598644507
All,50-65,11742,70078,1174200,1570042,4.019828689978159,2.5130723485210935,-1.506756341457065,-37.483098352264655
All,65 and older,4758,35358,475800,730169,2.483700389937829,1.377451508422487,-1.106248881515342,-44.5403514045844
Black,17 or younger,47585,34904,4758500,1242471,50.485385390695455,13.00702814660964,-37.478357244085814,-74.2360525804625
Black,18-29,12282,12114,1228200,450670,33.72785939859948,6.6693185891180615,-27.058540809481414,-80.22608399098402
Black,30-49,12757,17958,1275700,609520,28.268480765821664,5.913200556666636,-22.355280209155026,-79.08200088412228
Black,50-65,3240,7812,324000,204333,12.747875354107649,2.876911312939519,-9.87096404116813,-77.43222903405221
Black,65 and older,1187,4165,118700,92769,7.775448709550635,1.9551884605333043,-5.8202602490173305,-74.85433273925743
Hispanic,17 or younger,18432,133938,1843200,4051010,53.06768778971007,21.68274491847046,-31.384942871239613,-59.1413422714174
Hispanic,18-29,5245,58066,524500,1654023,36.370570695513486,14.32728486048892,-22.043285835024566,-60.6074785561276
Hispanic,30-49,6285,83293,628500,2389529,35.76102418207681,13.937557467302112,-21.823466714774696,-61.02584367735327
Hispanic,50-65,1244,28414,124400,702091,18.656268746250753,8.146938256416826,-10.509330489833927,-56.33136310788795
Hispanic,65 and older,511,11517,51100,267239,14.738967406980096,5.727985678696182,-9.010981728283914,-61.13713043436464
Other,17 or younger,246,2383,24600,58015,37.04819277108434,13.42073059297352,-23.627462178110818,-63.77493856205521
Other,18-29,97,714,9700,19304,25.064599483204137,8.866922667058628,-16.19767681614551,-64.6237209056527
Other,30-49,100,1080,10000,24337,28.169014084507044,6.752980806850376,-21.416033277656666,-76.02691813568116
Other,50-65,22,384,2200,7859,20.37037037037037,3.700407755836182,-16.66996261453419,-81.83436192589511
Other,65 and older,12,244,1200,10686,15.18987341772152,6.306880555260455,-8.882992862461066,-58.47970301120201
White,17 or younger,105037,102453,10503700,2154120,18.77605376997605,6.059826907902233,-12.716226862073816,-67.7257693115886
White,18-29,28606,31734,2860600,764769,10.267693699255569,2.910170713089221,-7.357522986166348,-71.6570166745409
White,30-49,37316,56937,3731600,1251619,9.602083247560623,2.652586526128905,-6.949496721431718,-72.37488513960983
White,50-65,6880,20148,688000,395930,2.6705068140620813,0.9559645907992036,-1.7145422232628778,-64.20287767979535
White,65 and older,2872,11540,287200,195243,1.6758472598263467,0.4900732327438589,-1.185774027082488,-70.75668860211994
