hhincome_2020_binned,YEAR,weighted_count,count,percent_crowded,rel_risk
"less than $50,000",1970,12843000,128430,19.685956645830583,2.5490533545560115
"$50,000 - $99,999",1970,12436400,124364,14.692699017289003,1.902497013038716
"$100,000 - $149,999",1970,3241600,32416,10.040358424937356,1.3000846128273817
"$150,000 and greater",1970,1161200,11612,7.722849979050141,1
"less than $50,000",1980,8577100,85771,11.564125069603708,2.4314734839020185
"$50,000 - $99,999",1980,6724900,67249,7.919091004367634,1.6650684490034453
"$100,000 - $149,999",1980,2268700,22687,5.593952111016044,1.176184635351695
"$150,000 and greater",1980,1015200,10152,4.7560152912075555,1
"less than $50,000",1990,10104092,99649,12.81976515733746,2.6970311747235476
"$50,000 - $99,999",1990,7311145,72665,8.507873851411807,1.7898924610752072
"$100,000 - $149,999",1990,2788560,27463,6.112116758140776,1.2858714054384115
"$150,000 and greater",1990,1479089,15571,4.753287717800117,1
"less than $50,000",2000,12238965,119207,14.404150356127424,2.5163507808145256
"$50,000 - $99,999",2000,10277369,99891,11.092951287545128,1.9378967827892302
"$100,000 - $149,999",2000,3969341,38413,7.7121033346278995,1.3472753871635264
"$150,000 and greater",2000,2548369,25243,5.724221943120704,1
"less than $50,000",2010,9361276,368980,8.683310229229663,3.036638149393961
"$50,000 - $99,999",2010,5882974,247451,6.109156794211463,2.1364316248295108
"$100,000 - $149,999",2010,2137440,93147,4.131937122736302,1.4449786506028464
"$150,000 and greater",2010,1294350,58673,2.8595143056352104,1
"less than $50,000",2020,7266652,259108,7.279276740822678,1.7516717086983988
"$50,000 - $99,999",2020,6256364,242369,6.251351291453436,1.504313627336638
"$100,000 - $149,999",2020,2932375,119998,4.956771727322897,1.1927883923597513
"$150,000 and greater",2020,2653283,116080,4.155617005558441,1
