birthplace,YEAR,weighted_count,count,percent_doubled
U.S.-born,1970,6896900,68969,3.6876493768279444
foreign-born,1970,542500,5425,5.330438029359168
U.S.-born,1980,12812300,128123,6.214446746756068
foreign-born,1980,1192300,11923,8.043960788811454
U.S.-born,1990,12686323,122063,5.755474776402934
foreign-born,1990,2653755,25167,12.59468838557163
U.S.-born,2000,15064789,145392,6.247698319227003
foreign-born,2000,4474717,42099,13.777402215053758
U.S.-born,2010,16442505,665039,6.337235386152716
foreign-born,2010,4373537,153637,10.502933652159372
U.S.-born,2020,19269204,790088,7.01146867496427
foreign-born,2020,4410115,165843,9.170591341740224
