inctot_binned,YEAR,weighted_count,count,percent_doubled
"less than $50,000",1970,4697400,46974,4.910008268013241
"$50,000 - $99,999",1970,856700,8567,3.380980946216869
"$100,000 - $149,999",1970,108700,1087,2.579374495752456
"$150,000 and greater",1970,80800,808,3.5585307848145864
"less than $50,000",1980,9084900,90849,7.8050913639600985
"$50,000 - $99,999",1980,1803200,18032,5.71734767320564
"$100,000 - $149,999",1980,225400,2254,3.787153250331838
"$150,000 and greater",1980,122700,1227,4.071272148118654
"less than $50,000",1990,9896220,93850,7.79927723207913
"$50,000 - $99,999",1990,2148009,20095,5.564269478203231
"$100,000 - $149,999",1990,314728,3048,3.7798876703395288
"$150,000 and greater",1990,160566,1571,3.561348568604745
"less than $50,000",2000,12583273,119790,8.957854575237263
"$50,000 - $99,999",2000,2438505,22818,5.652752617136802
"$100,000 - $149,999",2000,418684,3933,4.175326537074018
"$150,000 and greater",2000,276474,2676,3.4147301226417155
"less than $50,000",2010,14826672,562812,9.009731709934206
"$50,000 - $99,999",2010,2285649,91752,5.20432467923424
"$100,000 - $149,999",2010,380818,16392,3.396340740686569
"$150,000 and greater",2010,195186,9069,2.535989730583735
"less than $50,000",2020,16028865,636363,9.294131039932148
"$50,000 - $99,999",2020,3217440,134802,6.169948578008877
"$100,000 - $149,999",2020,614057,26953,4.388522577353037
"$150,000 and greater",2020,386505,18116,3.424552849115799
