tenure,YEAR,weighted_count,count,percent_doubled
owner,1970,3797800,37978,2.877640059344033
renter,1970,3641600,36416,5.582861400437234
owner,1980,5715700,57157,3.7033653410048077
renter,1980,8288900,82889,12.435731442571251
owner,1990,6691458,68797,4.074383666979033
renter,1990,8648620,78433,11.19419507139962
owner,2000,8847651,89455,4.673291279623559
renter,2000,10691855,98036,12.686062398807941
owner,2010,9048637,422250,4.479926660326855
renter,2010,11767405,396426,11.872125217463173
owner,2020,11696870,536411,5.380846167221896
renter,2020,11982449,419520,11.354103704186329
