race_eth,YEAR,NUMPREC,percent,count
AAPI,1970,1,4.982781643123199,709
AAPI,1970,2,13.844964509101132,1970
AAPI,1970,3,15.095930845456461,2148
AAPI,1970,4,21.66701806170497,3083
AAPI,1970,5,44.40930494061424,6319
AAPI,1980,1,5.368172373551931,1886
AAPI,1980,2,14.54188369908633,5109
AAPI,1980,3,17.04380496968662,5988
AAPI,1980,4,23.02393760851621,8089
AAPI,1980,5,40.02220134915891,14061
AAPI,1990,1,4.750452507045752,2664
AAPI,1990,2,13.989915515418632,8721
AAPI,1990,3,17.352630926787743,11216
AAPI,1990,4,24.765661547871424,16412
AAPI,1990,5,39.14133950287645,26472
AAPI,2000,1,5.79494403511946,5156
AAPI,2000,2,16.827147289307778,15829
AAPI,2000,3,18.627572079143775,17576
AAPI,2000,4,24.606092794529587,23357
AAPI,2000,5,34.1442438018994,32443
AAPI,2012,1,6.226000092140248,41918
AAPI,2012,2,18.936821425463524,132908
AAPI,2012,3,20.702755289779734,138819
AAPI,2012,4,25.850849185542174,176443
AAPI,2012,5,28.28357400707432,189926
AAPI,2022,1,7.026110626728096,56617
AAPI,2022,2,20.7480091328697,187897
AAPI,2022,3,20.91983540506331,184737
AAPI,2022,4,25.207773844481817,222351
AAPI,2022,5,26.09827099085707,226527
AIAN,1970,1,3.9435450394354503,285
AIAN,1970,2,11.47087311470873,829
AIAN,1970,3,11.360177113601772,821
AIAN,1970,4,14.27978414279784,1032
AIAN,1970,5,58.945620589456205,4260
AIAN,1980,1,5.638591768789403,796
AIAN,1980,2,13.919387971948716,1965
AIAN,1980,3,16.030318056244244,2263
AIAN,1980,4,19.501310476730183,2753
AIAN,1980,5,44.91039172628746,6340
AIAN,1990,1,6.574329834962565,1242
AIAN,1990,2,16.561474541095585,3306
AIAN,1990,3,18.872579225472652,3820
AIAN,1990,4,21.118120267929083,4404
AIAN,1990,5,36.87349613054012,8336
AIAN,2000,1,7.087319368961239,1584
AIAN,2000,2,17.974564005196463,4155
AIAN,2000,3,18.556155772456265,4279
AIAN,2000,4,21.08701785077238,4992
AIAN,2000,5,35.29494300261366,8861
AIAN,2012,1,8.959844956381344,11525
AIAN,2012,2,21.346703857185172,26583
AIAN,2012,3,18.49256071682399,21575
AIAN,2012,4,19.221779301434275,22864
AIAN,2012,5,31.979111168175216,43420
AIAN,2022,1,9.745118143236768,13167
AIAN,2022,2,21.89199778675133,28500
AIAN,2022,3,18.298198295025138,22627
AIAN,2022,4,18.65969936895117,23078
AIAN,2022,5,31.404986406035594,42587
All,1970,1,5.654437730598303,111508
All,1970,2,19.047242353618884,375620
All,1970,3,16.594254489250748,327246
All,1970,4,19.873998754591682,391924
All,1970,5,38.830066671940386,765746
All,1980,1,8.250845392975942,182337
All,1980,2,22.74056198439852,502548
All,1980,3,18.937481419002236,418503
All,1980,4,22.488607048493634,496980
All,1980,5,27.582504155129666,609551
All,1990,1,9.2777568613036685,212294
All,1990,2,24.30184605955678,598946
All,1990,3,19.85167284634705,485178
All,1990,4,22.93887982655577,569824
All,1990,5,23.62984440623673,581618
All,2000,1,9.949077041036809,265734
All,2000,2,25.143780286941837,700228
All,2000,3,19.061799269209033,521346
All,2000,4,21.948447606008585,603960
All,2000,5,23.89689579680374,648917
All,2012,1,10.503427430690301,1644281
All,2012,2,26.514171750721154,4279894
All,2012,3,19.23073544436735,2732511
All,2012,4,21.132927702299632,3006756
All,2012,5,22.61873767192156,3093810
All,2022,1,11.001926668783888,1706413
All,2022,2,27.129221581316465,4563824
All,2022,3,19.004940921824616,2722086
All,2022,4,20.41718547380157,2870684
All,2022,5,22.446725354273457,3021813
Black,1970,1,5.442535107169253,11782
Black,1970,2,12.961474501108647,28059
Black,1970,3,13.851164079822617,29985
Black,1970,4,14.897450110864746,32250
Black,1970,5,52.847376201034734,114404
Black,1980,1,7.810530627678347,19830
Black,1980,2,14.999527350642802,38082
Black,1980,3,17.410039072346862,44202
Black,1980,4,19.072189311822534,48422
Black,1980,5,40.70771363750946,103352
Black,1990,1,8.785027807672302,19643
Black,1990,2,16.940514762848416,41207
Black,1990,3,20.081121527903363,49233
Black,1990,4,21.108512957073007,52739
Black,1990,5,33.08482294450291,84144
Black,2000,1,10.086657154267748,28944
Black,2000,2,18.94845556485465,56255
Black,2000,3,20.852706522652042,61075
Black,2000,4,21.02214398584889,62083
Black,2000,5,29.090036772376667,85066
Black,2012,1,12.16933122848257,195735
Black,2012,2,22.269018251727108,342221
Black,2012,3,21.66766163459143,306439
Black,2012,4,19.68668548786594,272295
Black,2012,5,24.207303397332954,332789
Black,2022,1,14.070299475688438,193294
Black,2022,2,23.606629190771542,321417
Black,2022,3,20.967980402823628,254106
Black,2022,4,18.532788158501067,215267
Black,2022,5,22.822302772215323,264302
Hispanic,1970,1,2.5200353871773524,1937
Hispanic,1970,2,9.74318276436303,7489
Hispanic,1970,3,13.69171523730225,10524
Hispanic,1970,4,17.982410491257287,13822
Hispanic,1970,5,56.06265611990008,43092
Hispanic,1980,1,4.102262506054107,5929
Hispanic,1980,2,11.836296962568325,17107
Hispanic,1980,3,16.541202518508268,23907
Hispanic,1980,4,21.382411955995295,30904
Hispanic,1980,5,46.137826056874005,66683
Hispanic,1990,1,3.8627893563139057,7065
Hispanic,1990,2,11.478461701998647,22958
Hispanic,1990,3,16.02996362623732,32706
Hispanic,1990,4,21.826709226239714,45523
Hispanic,1990,5,46.802076089210416,98364
Hispanic,2000,1,3.6939527784741957,11748
Hispanic,2000,2,11.24535610536237,36983
Hispanic,2000,3,15.502323982494648,50927
Hispanic,2000,4,21.49420321084404,72054
Hispanic,2000,5,48.06416392282475,159704
Hispanic,2012,1,4.533614780605419,99234
Hispanic,2012,2,13.268253325057861,286202
Hispanic,2012,3,17.270894525800394,338378
Hispanic,2012,4,23.625438566957357,462794
Hispanic,2012,5,41.30179880157897,807901
Hispanic,2022,1,5.652013520543017,125405
Hispanic,2022,2,15.503960791585905,374502
Hispanic,2022,3,18.14111921691851,401400
Hispanic,2022,4,23.472588296616276,511324
Hispanic,2022,5,37.23031817433629,795745
Multiracial,2000,1,7.573967883624107,3430
Multiracial,2000,2,17.98445204036527,8587
Multiracial,2000,3,20.99989324578676,9798
Multiracial,2000,4,23.89047667176895,11362
Multiracial,2000,5,29.551210158454914,14178
Multiracial,2012,1,7.040483037679901,20597
Multiracial,2012,2,17.453978088850622,50025
Multiracial,2012,3,21.614949924734386,57004
Multiracial,2012,4,26.000763064666998,70313
Multiracial,2012,5,27.88982588406809,77509
Multiracial,2022,1,8.257322718011958,46061
Multiracial,2022,2,19.90404974040282,116895
Multiracial,2022,3,21.176484724432733,108738
Multiracial,2022,4,24.79099311975393,129300
Multiracial,2022,5,25.87114969739856,133572
Other,1970,1,4.080351537978657,65
Other,1970,2,15.065913370998116,240
Other,1970,3,15.003138731952292,239
Other,1970,4,18.141870684243568,289
Other,1970,5,47.70872567482737,760
Other,1980,1,9.622823984526113,199
Other,1980,2,18.762088974854933,388
Other,1980,3,19.342359767891683,400
Other,1980,4,22.58220502901354,467
Other,1980,5,29.69052224371373,614
Other,1990,1,4.92507825160388,98
Other,1990,2,12.85235420782738,278
Other,1990,3,19.981352809288076,413
Other,1990,4,23.80091904011366,517
Other,1990,5,38.440295691167,866
Other,2000,1,7.182047296240768,288
Other,2000,2,17.569835999227365,729
Other,2000,3,18.948389885852517,775
Other,2000,4,25.3911459818431,1062
Other,2000,5,30.90858083683625,1269
Other,2012,1,6.405415637204112,1646
Other,2012,2,18.704670439148803,4703
Other,2012,3,22.196541005818123,5147
Other,2012,4,24.77202385696448,6206
Other,2012,5,27.921349060864483,6861
Other,2022,1,9.792686640923092,5356
Other,2022,2,21.572742840068038,12591
Other,2022,3,20.14916046062612,10766
Other,2022,4,22.220785638762468,12500
