birthplace,YEAR,weighted_count,count,hhsize
U.S.-born,1970,187027000,1870270,4.210281403219856
foreign-born,1970,10177400,101774,3.489938491166703
U.S.-born,1980,206169600,2061696,3.621889454119327
foreign-born,1980,14822300,148223,3.7252248301545645
U.S.-born,1990,220421833,2249284,3.4096884041427966
foreign-born,1990,21070430,198576,4.115137327524877
U.S.-born,2000,241125423,2437721,3.370264623651899
foreign-born,2000,32478670,302464,4.206925375946737
U.S.-born,2010,259458644,12978124,3.3172491759418894
foreign-born,2010,41641099,1779128,3.836920778675894
U.S.-born,2020,274824076,12931911,3.3093023625775784
foreign-born,2020,48089756,1952909,3.660930406883329
