inctot_binned,YEAR,weighted_count,count,hhsize
"less than $50,000",1970,95669900,956699,3.4765626388237054
"$50,000 - $99,999",1970,25338800,253388,3.5286517119989895
"$100,000 - $149,999",1970,4214200,42142,3.698875231360638
"$150,000 and greater",1970,2270600,22706,3.601867347837576
"less than $50,000",1980,116397100,1163971,3.1960907960765343
"$50,000 - $99,999",1980,31539100,315391,3.105177382994442
"$100,000 - $149,999",1980,5951700,59517,3.255624443436329
"$150,000 and greater",1980,3013800,30138,3.175890901851483
"less than $50,000",1990,126886373,1291275,3.151180655151992
"$50,000 - $99,999",1990,38603612,379003,2.921401629464103
"$100,000 - $149,999",1990,8326385,81525,2.932350353724936
"$150,000 and greater",1990,4508573,44633,2.9903885331345417
"less than $50,000",2000,140471950,1417281,3.1558873141577375
"$50,000 - $99,999",2000,43138364,421127,2.858723061449433
"$100,000 - $149,999",2000,10027575,94959,2.9075113374868797
"$150,000 and greater",2000,8096511,77736,2.8271037981668896
"less than $50,000",2010,164562858,8091024,3.094567548164483
"$50,000 - $99,999",2010,43918263,2256678,2.7882571312075797
"$100,000 - $149,999",2010,11212597,584532,2.8495372659875318
"$150,000 and greater",2010,7696640,419736,2.846721296565774
"less than $50,000",2020,172462223,8020876,3.0733829170229354
"$50,000 - $99,999",2020,52146950,2537487,2.8198569427358646
"$100,000 - $149,999",2020,13992340,693703,2.8785292524338315
"$150,000 and greater",2020,11286291,589636,2.862774050394412
