STATEFIP,state_name,count_1970,count_2020,weighted_count_1970,weighted_count_2020,hhsize_1970,hhsize_2020,change_hhsize,pct_change_hhsize
1,Alabama,24222,224145,2422200,4894273,4.424242424242424,3.162660930438494,-1.2615814938039298,-28.515198147623074
2,Alaska,2724,30216,272400,704486,4.507342143906021,3.6103939609871594,-0.8969481829188615,-19.899713717795883
4,Arizona,17212,324228,1721200,7015059,4.343132698117592,3.461240311735083,-0.8818923863825088,-20.305444196184478
5,Arkansas,11499,138493,1149900,2935348,4.202887207583268,3.248642069015326,-0.9542451385679422,-22.70451457384338
6,California,193505,1749983,19350500,38476250,3.9762021653187256,3.7559439914232806,-0.220258173895445,-5.539410843255991
8,Colorado,16717,267166,1671700,5645717,4.060596997068852,3.2475441117576387,-0.8130528853112131,-20.022988883115378
9,Connecticut,29426,163404,2942600,3499042,4.105077142662951,3.190902538466243,-0.9141746041967083,-22.269364799407544
10,Delaware,NA,43657,NA,969992,NA,3.2028191985088537,NA,NA
11,District of Columbia,7116,29237,711600,641816,4.036537380550871,2.789089084722101,-1.2474482958287698,-30.90392032139509
12,Florida,61583,914372,6158300,21161442,3.900053586216976,3.209362292040401,-0.6906912941765753,-17.70978985051692
13,Georgia,28612,445919,2861200,10472621,4.320914301691598,3.3810202813603203,-0.9398940203312778,-21.752202305038033
15,Hawaii,7241,69058,724100,1409907,4.619665792017677,4.019988552436438,-0.5996772395812391,-12.980965865916573
16,Idaho,NA,84097,NA,1805642,NA,3.5160563389642023,NA,NA
17,Illinois,98635,594328,9863500,12477820,4.158371774724996,3.313362189869705,-0.845009584855291,-20.320683927092443
18,Indiana,35030,312218,3503000,6604292,4.162660576648587,3.270053777149769,-0.8926067994988185,-21.44317998219946
19,Iowa,17215,153968,1721500,3089878,4.067325007261109,3.172581894819148,-0.8947431124419611,-21.99831857165678
20,Kansas,15717,139452,1571700,2848003,3.9501813323153274,3.2893251868063342,-0.6608561455089932,-16.729767317330833
21,Kentucky,7351,210378,735100,4379777,4.39436811318188,3.2285100360132493,-1.1658580771686307,-26.530733137066537
