STATEFIP,YEAR,weighted_count,count,weighted_mean,STATEFIPS,state_name
1,1970,2422200,24222,4.424242424242424,1,Alabama
2,1970,272400,2724,4.507342143906021,2,Alaska
4,1970,1721200,17212,4.343132698117592,4,Arizona
5,1970,1149900,11499,4.202887207583268,5,Arkansas
6,1970,19350500,193505,3.9762021653187256,6,California
8,1970,1671700,16717,4.060596997068852,8,Colorado
9,1970,2942600,29426,4.105077142662951,9,Connecticut
11,1970,711600,7116,4.036537380550871,11,District of Columbia
12,1970,6158300,61583,3.9000535862169756,12,Florida
13,1970,2861200,28612,4.320914301691598,13,Georgia
15,1970,724100,7241,4.619665792017677,15,Hawaii
17,1970,9863500,98635,4.158371774724996,17,Illinois
18,1970,3503000,35030,4.162660576648587,18,Indiana
19,1970,1721500,17215,4.067325007261109,19,Iowa
20,1970,1571700,15717,3.9501813323153274,20,Kansas
21,1970,735100,7351,4.39436811318188,21,Kentucky
22,1970,3083400,30834,4.599922163845106,22,Louisiana
23,1970,587700,5877,4.323464352560831,23,Maine
24,1970,3158300,31583,4.233131748092328,24,Maryland
25,1970,5071200,50712,4.20551348793185,25,Massachusetts
26,1970,7984300,79843,4.366531818694187,26,Michigan
27,1970,2728800,27288,4.288038698328935,27,Minnesota
28,1970,807200,8072,4.714568880079287,28,Mississippi
29,1970,3789900,37899,4.116388295205678,29,Missouri
31,1970,621900,6219,3.977649139733076,31,Nebraska
32,1970,269400,2694,4.11358574610245,32,Nevada
33,1970,474900,4749,4.17540534849442,33,New Hampshire
34,1970,6877200,68772,4.12449834234863,34,New Jersey
35,1970,556900,5569,4.686119590590771,35,New Mexico
36,1970,16682500,166825,4.007618762175933,36,New York
37,1970,4344500,43445,4.272781677983658,37,North Carolina
39,1970,8455000,84550,4.186469544648137,39,Ohio
40,1970,1858000,18580,3.8181916038751345,40,Oklahoma
41,1970,1387700,13877,3.8572458024068603,41,Oregon
42,1970,10864300,108643,4.110333845714864,42,Pennsylvania
44,1970,744100,7441,4.041526676521973,44,Rhode Island
45,1970,1542400,15424,4.661566390041494,45,South Carolina
99,1970,35943700,359437,4.264065747265863,99,State not identified
47,1970,1852500,18525,4.069257759784076,47,Tennessee
48,1970,9683400,96834,4.307763801970382,48,Texas
