YEAR,decade_label,weighted_count,count,hhsize,bedroom,change_hhsize,change_bedroom,contrib_percent_hhsize,contrib_percent_bedroom
1970,NA,197204400,1972044,4.1731056710702195,2.7502205833135567,NA,NA,NA,NA
1980,1970-1980,220991900,2209919,3.6288203323289223,2.7934883586230987,-0.544285339,0.043267775,0.9263593804971337,0.07364062
1990,1980-1990,241492263,2447860,3.471239495,2.8110668249442012,-0.157580838,0.017578466,0.8996429768284504,0.10035702317154963
2000,1990-2000,273604093,2740185,3.469581955413218,2.823591041819685,-0.001657539,0.012524217,0.11687828390892148,0.8831217160910785
2012,2000-2012,301099743,14757252,3.389118040529181,2.992265489911096,-0.080463915,0.168674448,0.32296878699474524,0.6770312130052547
2022,2012-2022,322913832,14884820,3.361668366067391,3.028105463751085,-0.027449674,0.035839974,0.4337150734493566,0.5662849265506434
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,0.811437305,0.27788488,-0.811437305,-0.27788488,,
,,,,0.74490111,0.25509889,,,,
