birthplace,YEAR,weighted_count,count,persons_per_bedroom
U.S.-born,1970,187027000,1870270,1.6065957232556236
foreign-born,1970,10177400,101774,1.5806997202952868
foreign-born,1980,14822300,148223,1.7636824244550466
U.S.-born,1980,206169600,2061696,1.3578186357251247
foreign-born,1990,21070430,198576,2.1382625761948546
U.S.-born,1990,220421833,2249284,1.2918761618319405
foreign-born,2000,32478670,302464,2.2078694955797142
U.S.-born,2000,241125423,2437721,1.2888562334078872
U.S.-born,2010,259458644,12978124,1.1592567859613712
foreign-born,2010,41641099,1779128,1.5255696797691825
U.S.-born,2020,274824076,12931911,1.1483929045090633
foreign-born,2020,48089756,1952909,1.420255485042043
