inctot_binned,YEAR,weighted_count,count,persons_per_bedroom
"less than $50,000",1970,111233500,1112335,1.4976951937440306
"$50,000 - $99,999",1970,25364700,253647,1.373331375231436
"$100,000 - $149,999",1970,4217400,42174,1.2566952782915262
"$150,000 and greater",1970,2273400,22734,1.1411373566757534
NA,1970,54115400,541154,1.9817265818355683
"less than $50,000",1980,128671000,1286710,1.3274975195135723
"$50,000 - $99,999",1980,31558400,315584,1.1686636521496658
"$100,000 - $149,999",1980,5955000,59550,1.079013434089002
"$150,000 and greater",1980,3016800,30168,0.9941974940334124
NA,1980,51790700,517907,1.717805448983377
"less than $50,000",1990,133493361,1359608,1.3246371684106915
"$50,000 - $99,999",1990,38612584,379097,1.092121686287559
"$100,000 - $149,999",1990,8329313,81549,0.97848855001607
"$150,000 and greater",1990,4509348,44642,0.9136740426036462
NA,1990,56547657,582964,1.742631066924662
"less than $50,000",2000,152135603,1538434,1.3776388738100356
"$50,000 - $99,999",2000,43152622,421266,1.070463036985329
"$100,000 - $149,999",2000,10030810,94989,0.9900756220085911
"$150,000 and greater",2000,8103697,77799,0.9085956014890474
NA,2000,60181361,607697,1.817991748862788
"less than $50,000",2010,177252762,8704904,1.181348904735254
"$50,000 - $99,999",2010,43923992,2257007,0.9686764650171115
"$100,000 - $149,999",2010,11213452,584583,0.9145325215940037
"$150,000 and greater",2010,7698490,419838,0.8540538642426405
NA,2010,61011047,2790920,1.5657837601661388
"less than $50,000",2020,185163736,8573551,1.162637585345927
"$50,000 - $99,999",2020,52154748,2537855,0.9866931961784188
"$100,000 - $149,999",2020,13993237,693750,0.9384425228653887
"$150,000 and greater",2020,11288437,589728,0.8793434629907874
NA,2020,60313674,2489936,1.5603168655696016
