race_eth,age_bucket,count_1970,count_2020,weighted_count_1970,weighted_count_2020,ppbr_1970,ppbr_2020,change_ppbr,pct_change_ppbr
AAPI,17 or younger,4678,165914,467800,3710646,2.155044890979049,1.6099593664643117,-0.5450855245147372,-25.293464966620803
AAPI,18-29,2788,128970,278800,2957163,1.9110174557627928,1.381526866572229,-0.5294905891905639,-27.707260736622363
AAPI,30-49,4189,276744,418900,6219791,1.8088048062385613,1.350120719490411,-0.4586840867481503,-25.358407118675853
AAPI,50-65,1622,175484,162200,3446580,1.5508528565556916,1.1502660801915705,-0.4005867763641211,-25.830095658061932
AAPI,65 and older,952,131017,95200,2555830,1.4158963585434174,1.1078233489707832,-0.3080730095726343,-21.758161020313654
AIAN,17 or younger,3359,34833,335900,458213,3.2787188647414895,1.7627060268186776,-1.516012837922812,-46.23796368226716
AIAN,18-29,1306,18643,130600,311893,2.6538795303726386,1.4825791751230926,-1.171300355249546,-44.1354003391812
AIAN,30-49,1474,29974,147400,441218,2.5889416553595654,1.3785772188200232,-1.2103644365395423,-46.75132149208054
AIAN,50-65,659,26626,65900,323669,1.8907182599898835,1.0623540818964234,-0.8283641780934601,-43.81214248694527
AIAN,65 and older,429,19883,42900,223508,1.7144522144522145,0.9854873949329184,-0.7289648195192961,-42.51881816094875
All,17 or younger,697109,3043118,69710900,73026028,1.9403410370544447,1.532581523535689,-0.4077595135187557,-21.014837378163136
All,18-29,333919,1907932,33391900,50146411,1.658404932533533,1.297805036004138,-0.36059989652939506,-21.743778582382124
All,30-49,457345,3577372,45734500,84257701,1.5753696516488314,1.246269923742636,-0.32909972790619535,-20.89031787312579
All,50-65,292102,3191151,29210200,62475002,1.1583175283519849,0.9463668196441181,-0.2119507087078668,-18.298152580788717
All,65 and older,191569,3165247,19156900,53008690,1.0461269829669588,0.8069440136450536,-0.2391829693219052,-22.863665044137342
Black,17 or younger,94255,267875,9425500,9552305,2.519256980177889,1.5808244798855715,-0.9384325002923175,-37.25036817109675
Black,18-29,36415,171516,3641500,6757362,2.1064140235251023,1.3105987045437772,-0.7958153189813251,-37.78057447839819
Black,30-49,45128,299306,4512800,10307785,1.9235566979849903,1.2331092292540697,-0.6904474687309206,-35.894313354745115
Black,50-65,25416,277483,2541600,7102513,1.4490773528485992,0.9846185498006123,-0.4644588030479869,-32.05203656899011
Black,65 and older,15266,232206,1526600,4744760,1.2463480938032243,0.865075880199067,-0.3812722136041573,-30.591149896230615
Hispanic,17 or younger,34733,638874,3473300,18683105,2.679712377278089,1.8172635107137318,-0.8624488665643573,-32.184381946259
Hispanic,18-29,14421,397924,1442100,11544567,2.2445588609204203,1.5772719366607693,-0.6672869242596511,-29.72909001753772
Hispanic,30-49,17575,602063,1757500,17144532,2.2082475106685644,1.5439507768424332,-0.6642967338261312,-30.08253063194941
Hispanic,50-65,6668,351490,666800,8617851,1.7191011797640465,1.2682301036147716,-0.4508710761492749,-26.227140173980843
Hispanic,65 and older,3467,218025,346700,4665497,1.6073454475531197,1.1072606055332002,-0.5000848420199195,-31.112468248888526
Other,17 or younger,664,17491,66400,432279,2.2470130522088354,1.5781819534760348,-0.6688310987328006,-29.76534106356584
Other,18-29,387,7925,38700,217708,1.9955641688199823,1.384711555539224,-0.6108526132807583,-30.610522218484608
Other,30-49,355,14604,35500,360389,1.9907981220657276,1.2538591632929978,-0.7369389587727297,-37.017262102299654
Other,50-65,108,10033,10800,212382,1.7081790123456788,1.0152402275145729,-0.6929387848311059,-40.56593482433433
Other,65 and older,79,6403,7900,169434,1.469831223628692,1.0863310590947899,-0.383500164533902,-26.091442226075724
White,17 or younger,559420,1715312,55942000,35547550,1.786699885595816,1.3717546436627406,-0.41494524193307547,-23.224115324477253
White,18-29,278602,1100998,27860200,26279180,1.5618441360794033,1.1631636077178487,-0.39868052836155465,-25.52626854061998
White,30-49,388624,2236449,38862400,47184851,1.4995761970439296,1.128015540411474,-0.37156065663245563,-24.77771102028041
White,50-65,257629,2273032,25762900,41416806,1.1105434558997653,0.8542670037536643,-0.25627645214610106,-23.076670326103102
White,65 and older,171376,2503157,17137600,39839556,1.0130154358447603,0.7427977665380209,-0.2702176693067394,-26.674585573457044
