race_eth,age_bucket,YEAR,weighted_count,count,weighted_mean
AAPI,17 or younger,1970,467800,4678,2.155044890979051
AAPI,18-29,1970,278800,2788,1.9110174557627937
AAPI,30-49,1970,418900,4189,1.8088048062385613
AAPI,50-65,1970,162200,1622,1.5508528565556925
AAPI,65 and older,1970,95200,952,1.4158963585434174
AIAN,17 or younger,1970,335900,3359,3.2787188647414895
AIAN,18-29,1970,130600,1306,2.65387953037264
AIAN,30-49,1970,147400,1474,2.588941655359567
AIAN,50-65,1970,65900,659,1.8907182599898824
AIAN,65 and older,1970,42900,429,1.7144522144522147
All,17 or younger,1970,69710900,697109,1.9403410370544225
All,18-29,1970,33391900,333919,1.6584049325335495
All,30-49,1970,45734500,457345,1.5753696516488378
All,50-65,1970,29210200,292102,1.1583175283520193
All,65 and older,1970,19156900,191569,1.0461269829669568
Black,17 or younger,1970,9425500,94255,2.519256980177896
Black,18-29,1970,3641500,36415,2.1064140235251045
Black,30-49,1970,4512800,45128,1.9235566979849894
Black,50-65,1970,2541600,25416,1.4490773528485994
Black,65 and older,1970,1526600,15266,1.2463480938032232
Hispanic,17 or younger,1970,3473300,34733,2.6797123772780997
Hispanic,18-29,1970,1442100,14421,2.244558860920416
Hispanic,30-49,1970,1757500,17575,2.2082475106685617
Hispanic,50-65,1970,666800,6668,1.719101179764047
Hispanic,65 and older,1970,346700,3467,1.6073454475531197
Other,17 or younger,1970,66400,664,2.2470130522088354
Other,18-29,1970,38700,387,1.995564168819983
Other,30-49,1970,35500,355,1.9907981220657276
Other,50-65,1970,10800,108,1.7081790123456788
Other,65 and older,1970,7900,79,1.469831223628692
White,17 or younger,1970,55942000,559420,1.786699885595825
White,18-29,1970,27860200,278602,1.5618441360794042
White,30-49,1970,38862400,388624,1.4995761970439354
White,50-65,1970,25762900,257629,1.1105434558997351
White,65 and older,1970,17137600,171376,1.0130154358447696
AAPI,17 or younger,1980,1088500,10885,2.254670035216657
AAPI,18-29,1980,772200,7722,1.9519144435811087
