STATEFIP,YEAR,weighted_count,count,weighted_mean,state_name
1,1970,2422200,24222,1.7642941678364035,Alabama
2,1970,272400,2724,2.07604013705335,Alaska
4,1970,1721200,17212,1.8649082035789062,Arizona
5,1970,1149900,11499,1.7141447082354946,Arkansas
6,1970,19350500,193505,1.6126945901484164,California
8,1970,1671700,16717,1.518726446132677,Colorado
9,1970,2942600,29426,1.5000538072906056,Connecticut
11,1970,711600,7116,1.9019884766722885,District of Columbia
12,1970,6158300,61583,1.653527488646715,Florida
13,1970,2861200,28612,1.7080380027028288,Georgia
15,1970,724100,7241,1.8202435206923562,Hawaii
17,1970,9863500,98635,1.6190672682110858,Illinois
18,1970,3503000,35030,1.5832353221048605,Indiana
19,1970,1721500,17215,1.4397995933778762,Iowa
20,1970,1571700,15717,1.4705828084240045,Kansas
21,1970,735100,7351,1.7664104656962705,Kentucky
22,1970,3083400,30834,1.8464757518756487,Louisiana
23,1970,587700,5877,1.5021694742215386,Maine
24,1970,3158300,31583,1.5342051103441698,Maryland
25,1970,5071200,50712,1.5010865278435255,Massachusetts
26,1970,7984300,79843,1.5585432244112447,Michigan
27,1970,2728800,27288,1.526041972051207,Minnesota
28,1970,807200,8072,1.859227370333664,Mississippi
29,1970,3789900,37899,1.6518267852274175,Missouri
31,1970,621900,6219,1.4218255882510609,Nebraska
32,1970,269400,2694,1.5450445434298445,Nevada
33,1970,474900,4749,1.4814838211553327,New Hampshire
34,1970,6877200,68772,1.540574652474841,New Jersey
35,1970,556900,5569,2.0511043275273813,New Mexico
36,1970,16682500,166825,1.624048853589088,New York
37,1970,4344500,43445,1.6453788314727549,North Carolina
39,1970,8455000,84550,1.510531243839944,Ohio
40,1970,1858000,18580,1.5340850376749098,Oklahoma
41,1970,1387700,13877,1.4614289832096243,Oregon
42,1970,10864300,108643,1.4705759536586096,Pennsylvania
44,1970,744100,7441,1.5014155803431415,Rhode Island
45,1970,1542400,15424,1.7684496023513183,South Carolina
99,1970,35943700,359437,1.615819554840899,State not identified
47,1970,1852500,18525,1.6436347278452461,Tennessee
48,1970,9683400,96834,1.7912255337312601,Texas
49,1970,793400,7934,1.625323502226703,Utah
